frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,35.175,4.177,34.456,3.180
1,0,1,35.194,4.203,34.443,3.161
2,0,1,35.200,4.234,34.449,3.193
3,0,1,35.206,4.278,34.455,3.237
4,0,1,35.225,4.329,34.474,3.287
5,0,1,35.231,4.379,34.480,3.338
6,0,1,35.237,4.417,34.486,3.375
7,0,1,35.243,4.455,34.492,3.413
8,0,1,35.249,4.518,34.498,3.476
9,0,1,35.242,4.568,34.491,3.526
10,0,1,35.248,4.618,34.497,3.577
11,0,1,35.242,4.656,34.491,3.615
12,0,1,35.248,4.706,34.496,3.665
13,0,1,35.254,4.757,34.502,3.715
14,0,1,35.272,4.795,34.521,3.753
15,0,1,35.278,4.833,34.527,3.791
16,0,1,35.284,4.883,34.533,3.841
17,0,1,35.290,4.933,34.539,3.892
18,0,1,35.296,4.984,34.545,3.942
19,0,1,35.302,5.022,34.551,3.980
20,0,1,35.321,5.059,34.570,4.018
21,0,1,35.327,5.122,34.576,4.081
22,0,1,35.346,5.148,34.595,4.106
23,0,1,35.352,5.198,34.601,4.157
24,0,1,35.358,5.248,34.607,4.207
25,0,1,35.364,5.286,34.613,4.245
26,0,1,35.370,5.337,34.619,4.295
27,0,1,35.376,5.374,34.625,4.333
28,0,1,35.394,5.400,34.643,4.358
29,0,1,35.400,5.450,34.649,4.409
30,0,1,35.419,5.488,34.668,4.446
31,0,1,35.425,5.538,34.674,4.497
32,0,1,35.431,5.589,34.680,4.547
33,0,1,35.437,5.627,34.686,4.585
34,0,1,35.443,5.664,34.692,4.623
35,0,1,35.449,5.715,34.698,4.673
36,0,1,35.468,5.765,34.717,4.724
37,0,1,35.461,5.816,34.710,4.774
38,0,1,35.480,5.866,34.729,4.824
39,0,1,35.473,5.904,34.722,4.862
40,0,1,35.492,5.942,34.741,4.900
41,0,1,35.498,6.005,34.747,4.963
42,0,1,35.504,6.042,34.753,5.001
43,0,1,35.497,6.105,34.746,5.064
44,0,1,35.516,6.131,34.765,5.089
45,0,1,35.534,6.181,34.783,5.140
46,0,1,35.566,6.219,34.815,5.177
47,0,1,35.572,6.282,34.821,5.240
48,0,1,35.578,6.320,34.827,5.278
49,0,1,35.584,6.383,34.833,5.341
50,0,1,35.602,6.421,34.851,5.379
51,0,1,35.608,6.484,34.857,5.442
52,0,1,35.627,6.521,34.876,5.480
