frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,38.277,20.304,37.562,19.373
1,0,1,38.267,20.285,37.534,19.383
2,0,1,38.257,20.239,37.532,19.272
3,0,1,38.247,20.212,37.524,19.328
4,0,1,38.238,20.193,37.514,19.291
5,0,1,38.228,20.165,37.514,19.309
6,0,1,38.226,20.091,37.503,19.216
7,0,1,38.235,20.054,37.502,19.198
8,0,1,38.272,20.062,37.512,19.198
9,0,1,38.271,20.006,37.466,19.245
10,0,1,38.225,20.045,37.502,19.198
11,0,1,38.278,19.913,37.525,18.909
12,0,1,38.278,19.885,37.579,18.852
13,0,1,38.333,19.837,37.589,18.851
14,0,1,38.304,19.791,37.607,18.842
15,0,1,38.311,19.698,37.580,18.870
16,0,1,38.357,19.641,37.579,18.824
17,0,1,38.365,19.604,37.552,18.871
18,0,1,38.356,19.595,37.543,18.908
19,0,1,38.374,19.585,37.560,18.843
20,0,1,38.401,19.547,37.570,18.833
21,0,1,38.401,19.519,37.602,18.590
22,0,1,38.409,19.463,37.636,18.422
23,0,1,38.426,19.416,37.644,18.357
24,0,1,38.416,19.379,37.642,18.292
25,0,1,38.415,19.332,37.606,18.339
26,0,1,38.405,19.268,37.580,18.405
27,0,1,38.397,19.333,37.574,18.126
28,0,1,38.405,19.295,37.601,18.097
29,0,1,38.387,19.277,37.619,18.041
30,0,1,38.358,19.222,37.637,18.013
31,0,1,38.374,19.110,37.644,17.910
32,0,1,38.382,19.054,37.653,17.901
33,0,1,38.380,18.961,37.635,17.901
34,0,1,38.389,18.952,37.635,17.910
35,0,1,38.370,18.915,37.625,17.873
36,0,1,38.417,18.960,37.632,17.743
37,0,1,38.417,18.932,37.612,17.688
38,0,1,38.416,18.867,37.621,17.659
39,0,1,38.395,18.765,37.575,17.707
40,0,1,38.403,18.700,37.639,17.650
41,0,1,38.420,18.607,37.620,17.604
42,0,1,38.372,18.561,37.667,17.658
43,0,1,38.399,18.514,37.637,17.547
44,0,1,38.437,18.532,37.645,17.463
45,0,1,38.420,18.607,37.606,17.390
46,0,1,38.361,18.450,37.656,17.547
47,0,1,38.445,18.476,37.634,17.408
48,0,1,38.471,18.410,37.644,17.426
49,0,1,38.488,18.289,37.652,17.352
50,0,1,38.514,18.214,37.642,17.343
51,0,1,38.495,18.177,37.615,17.362
52,0,1,38.402,18.207,37.698,17.323
53,0,1,38.475,18.112,37.630,17.175
54,0,1,38.400,18.086,37.695,17.202
55,0,1,38.409,18.049,37.704,17.164
56,0,1,38.426,18.002,37.721,17.117
57,0,1,38.425,17.955,37.720,17.071
58,0,1,38.434,17.937,37.729,17.052
59,0,1,38.497,17.805,37.718,16.941
60,0,1,38.468,17.778,37.718,16.931
61,0,1,38.495,17.749,37.746,16.968
62,0,1,38.449,17.741,37.754,16.865
63,0,1,38.476,17.694,37.734,16.810
64,0,1,38.448,17.676,37.753,16.819
65,0,1,38.446,17.620,37.751,16.763
66,0,1,38.483,17.610,37.751,16.726
67,0,1,38.493,17.628,37.777,16.623
68,0,1,38.473,17.545,37.723,16.745
69,0,1,38.490,17.489,37.777,16.660
70,0,1,38.517,17.414,37.757,16.596
71,0,1,38.497,17.386,37.729,16.568
72,0,1,38.488,17.359,37.719,16.550
73,0,1,38.496,17.312,37.811,16.464
74,0,1,38.477,17.284,37.829,16.473
75,0,1,38.524,17.330,37.842,16.193
76,0,1,38.552,17.329,37.825,16.278
77,0,1,38.561,17.320,37.853,16.277
78,0,1,38.579,17.282,37.871,16.239
79,0,1,38.587,17.217,37.840,16.082
80,0,1,38.565,17.050,37.890,16.239
81,0,1,38.613,17.114,37.859,16.081
82,0,1,38.573,17.003,37.813,16.138
83,0,1,38.562,16.910,37.794,16.083
84,0,1,38.589,16.872,37.765,16.047
85,0,1,38.626,16.853,37.784,16.046
86,0,1,38.598,16.826,37.803,16.083
87,0,1,38.607,16.844,37.792,15.999
88,0,1,38.597,16.798,37.810,15.943
89,0,1,38.531,16.762,37.856,15.961
90,0,1,38.586,16.714,37.844,15.831
91,0,1,38.557,16.669,37.836,15.877
92,0,1,38.585,16.631,37.779,15.832
