frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,42.615,8.860,41.561,8.147
1,0,1,42.642,8.878,41.543,8.138
2,0,1,42.597,8.869,41.498,8.129
3,0,1,42.588,8.878,41.489,8.138
4,0,1,42.552,8.869,41.452,8.130
5,0,1,42.507,8.878,41.407,8.139
6,0,1,42.480,8.869,41.380,8.130
7,0,1,42.425,8.879,41.326,8.139
8,0,1,42.389,8.870,41.290,8.130
9,0,1,42.335,8.879,41.235,8.139
10,0,1,42.299,8.870,41.199,8.130
11,0,1,42.244,8.789,41.144,8.049
12,0,1,42.072,8.817,40.909,8.077
13,0,1,42.063,8.817,40.918,8.077
14,0,1,41.991,8.862,40.846,8.123
15,0,1,41.973,8.799,40.827,8.059
16,0,1,41.927,8.808,40.782,8.068
17,0,1,41.882,8.790,40.737,8.050
18,0,1,41.837,8.827,40.692,8.087
19,0,1,41.792,8.818,40.646,8.078
20,0,1,41.765,8.836,40.619,8.096
21,0,1,41.737,8.818,40.592,8.078
22,0,1,41.710,8.827,40.565,8.087
23,0,1,41.656,8.836,40.510,8.097
24,0,1,41.602,8.846,40.456,8.106
25,0,1,41.538,8.837,40.393,8.097
26,0,1,41.493,8.846,40.347,8.106
27,0,1,41.430,8.837,40.284,8.097
28,0,1,41.384,8.847,40.239,8.107
29,0,1,41.339,8.838,40.193,8.098
30,0,1,41.294,8.847,40.148,8.107
31,0,1,41.249,8.838,40.103,8.098
32,0,1,41.203,8.847,40.057,8.107
33,0,1,41.158,8.838,40.012,8.098
34,0,1,41.113,8.848,39.967,8.108
35,0,1,41.049,8.839,39.903,8.099
36,0,1,41.004,8.848,39.858,8.108
37,0,1,40.959,8.821,39.812,8.081
38,0,1,40.931,8.830,39.785,8.090
39,0,1,40.868,8.803,39.721,8.063
40,0,1,40.841,8.794,39.694,8.054
41,0,1,40.777,8.785,39.631,8.045
42,0,1,40.750,8.795,39.604,8.054
43,0,1,40.687,8.786,39.540,8.046
44,0,1,40.641,8.777,39.495,8.037
45,0,1,40.596,8.768,39.449,8.028
46,0,1,40.551,8.777,39.404,8.037
47,0,1,40.505,8.768,39.358,8.028
48,0,1,40.460,8.759,39.313,8.019
49,0,1,40.396,8.751,39.249,8.010
