frame,id,class,tl_x,tl_y,br_x,br_y
0,1,1,38.176,4.823,37.204,3.735
1,1,1,38.206,4.852,37.194,3.716
2,1,1,38.206,4.900,37.194,3.765
3,1,1,38.206,4.929,37.195,3.794
4,1,1,38.206,4.968,37.195,3.833
5,1,1,38.206,5.007,37.195,3.871
6,1,1,38.206,5.046,37.195,3.910
7,1,1,38.206,5.085,37.195,3.949
8,1,1,38.206,5.124,37.195,3.988
9,1,1,38.206,5.182,37.195,4.046
10,1,1,38.206,5.201,37.195,4.066
11,1,1,38.206,5.260,37.195,4.124
12,1,1,38.206,5.299,37.195,4.163
13,1,1,38.206,5.337,37.195,4.202
14,1,1,38.206,5.376,37.195,4.241
15,1,1,38.206,5.415,37.195,4.280
16,1,1,38.206,5.454,37.195,4.319
17,1,1,38.216,5.493,37.205,4.358
18,1,1,38.226,5.532,37.215,4.396
19,1,1,38.226,5.571,37.215,4.435
20,1,1,38.226,5.610,37.215,4.474
21,1,1,38.226,5.648,37.215,4.513
22,1,1,38.226,5.687,37.215,4.552
23,1,1,38.226,5.726,37.215,4.591
24,1,1,38.226,5.765,37.215,4.630
25,1,1,38.226,5.823,37.215,4.688
26,1,1,38.226,5.882,37.215,4.746
27,1,1,38.226,5.901,37.215,4.766
28,1,1,38.226,5.979,37.215,4.844
29,1,1,38.226,6.018,37.215,4.883
30,1,1,38.226,6.076,37.215,4.941
31,1,1,38.226,6.095,37.215,4.960
32,1,1,38.226,6.154,37.215,5.019
33,1,1,38.226,6.173,37.215,5.038
34,1,1,38.207,6.231,37.196,5.096
35,1,1,38.207,6.270,37.196,5.135
36,1,1,38.207,6.309,37.196,5.174
37,1,1,38.207,6.348,37.196,5.213
38,1,1,38.207,6.387,37.196,5.252
39,1,1,38.188,6.426,37.177,5.291
40,1,1,38.188,6.465,37.177,5.330
41,1,1,38.178,6.504,37.167,5.369
42,1,1,38.188,6.562,37.177,5.427
43,1,1,38.168,6.620,37.157,5.485
44,1,1,38.168,6.659,37.157,5.524
45,1,1,38.169,6.698,37.158,5.563
46,1,1,38.169,6.737,37.158,5.602
47,1,1,38.159,6.776,37.148,5.641
48,1,1,38.169,6.814,37.158,5.680
49,1,1,38.169,6.853,37.158,5.719
50,1,1,38.169,6.892,37.158,5.758
51,1,1,38.169,6.931,37.158,5.796
52,1,1,38.169,6.970,37.158,5.835
53,1,1,38.159,7.009,37.148,5.874
54,1,1,38.169,7.048,37.158,5.913
55,1,1,38.169,7.087,37.158,5.952
56,1,1,38.169,7.125,37.158,5.991
57,1,1,38.169,7.164,37.158,6.030
58,1,1,38.169,7.203,37.158,6.069
59,1,1,38.159,7.242,37.148,6.107
60,1,1,38.169,7.281,37.158,6.146
61,1,1,38.169,7.320,37.158,6.185
62,1,1,38.179,7.378,37.168,6.244
63,1,1,38.189,7.436,37.178,6.302
64,1,1,38.189,7.456,37.178,6.321
65,1,1,38.189,7.514,37.178,6.380
66,1,1,38.189,7.533,37.178,6.399
67,1,1,38.169,7.592,37.158,6.457
68,1,1,38.160,7.611,37.149,6.477
69,1,1,38.170,7.669,37.159,6.535
70,1,1,38.170,7.689,37.159,6.555
71,1,1,38.170,7.728,37.159,6.593
72,1,1,38.170,7.767,37.159,6.632
73,1,1,38.170,7.805,37.159,6.671
74,1,1,38.160,7.844,37.149,6.710
75,1,1,38.170,7.883,37.159,6.749
76,1,1,38.170,7.922,37.159,6.788
77,1,1,38.170,7.961,37.159,6.827
78,1,1,38.150,8.000,37.139,6.866
79,1,1,38.150,8.039,37.139,6.905
80,1,1,38.141,8.078,37.130,6.943
81,1,1,38.151,8.116,37.140,6.982
82,1,1,38.151,8.155,37.140,7.021
83,1,1,38.170,8.194,37.159,7.060
84,1,1,38.170,8.233,37.159,7.099
85,1,1,38.190,8.272,37.179,7.138
86,1,1,38.190,8.311,37.179,7.177
87,1,1,38.209,8.330,37.198,7.196
88,1,1,38.209,8.349,37.198,7.215
89,1,1,38.209,8.388,37.198,7.254
90,1,1,38.209,8.427,37.198,7.293
91,1,1,38.229,8.466,37.218,7.332
92,1,1,38.219,8.485,37.208,7.351
93,1,1,38.248,8.505,37.237,7.371
94,1,1,38.238,8.563,37.227,7.429
95,1,1,38.267,8.582,37.257,7.448
96,1,1,38.287,8.640,37.276,7.507
97,1,1,38.287,8.660,37.276,7.526
98,1,1,38.297,8.718,37.286,7.584
99,1,1,38.306,8.738,37.296,7.604
100,1,1,38.326,8.796,37.315,7.662
101,1,1,38.326,8.815,37.315,7.682
102,1,1,38.326,8.873,37.315,7.740
103,1,1,38.345,8.893,37.335,7.759
104,1,1,38.336,8.951,37.325,7.818
105,1,1,38.345,8.971,37.335,7.837
106,1,1,38.346,9.029,37.335,7.895
107,1,1,38.346,9.048,37.335,7.915
108,1,1,38.365,9.106,37.354,7.973
109,1,1,38.365,9.126,37.354,7.992
110,1,1,38.365,9.184,37.354,8.051
111,1,1,38.365,9.204,37.354,8.070
112,1,1,38.365,9.262,37.354,8.128
113,1,1,38.355,9.281,37.345,8.148
114,1,1,38.365,9.340,37.355,8.206
115,1,1,38.258,9.301,37.597,8.332
116,1,1,38.220,9.291,37.588,8.429
117,1,1,38.365,9.398,37.442,8.313
