frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,33.074,4.490,32.456,3.633
1,0,1,33.093,4.515,32.449,3.620
2,0,1,33.093,4.528,32.468,3.677
3,0,1,33.105,4.541,32.481,3.690
4,0,1,33.112,4.509,32.506,3.747
5,0,1,33.124,4.547,32.512,3.734
6,0,1,33.220,4.516,32.524,3.893
7,0,1,33.188,4.585,32.556,3.829
8,0,1,33.290,4.510,32.517,3.924
9,0,1,33.245,4.592,32.588,3.874
10,0,1,33.257,4.624,32.600,3.906
11,0,1,33.251,4.643,32.594,3.925
12,0,1,33.257,4.693,32.600,3.975
13,0,1,33.257,4.738,32.599,4.020
14,0,1,33.229,5.042,32.579,4.191
15,0,1,33.242,4.978,32.592,4.241
16,0,1,33.266,5.207,32.541,4.190
17,0,1,33.242,5.099,32.585,4.330
18,0,1,33.254,5.137,32.597,4.368
19,0,1,33.254,5.181,32.597,4.412
20,0,1,33.273,5.175,32.597,4.381
21,0,1,33.273,5.169,32.616,4.400
22,0,1,33.285,5.207,32.629,4.438
23,0,1,33.279,5.238,32.622,4.469
24,0,1,33.291,5.283,32.634,4.514
25,0,1,33.291,5.314,32.634,4.546
26,0,1,33.310,5.352,32.653,4.584
27,0,1,33.322,5.391,32.666,4.622
28,0,1,33.348,5.416,32.691,4.647
29,0,1,33.354,5.454,32.697,4.685
30,0,1,33.366,5.511,32.709,4.742
31,0,1,33.379,5.555,32.722,4.787
32,0,1,33.410,5.600,32.753,4.831
33,0,1,33.423,5.644,32.766,4.875
34,0,1,33.448,5.689,32.791,4.920
35,0,1,33.467,5.733,32.810,4.964
36,0,1,33.466,5.892,32.930,5.072
37,0,1,33.523,5.860,32.879,5.091
38,0,1,33.523,5.943,32.930,5.136
39,0,1,33.555,5.930,32.917,5.161
40,0,1,33.573,5.974,32.935,5.206
41,0,1,33.586,6.012,32.948,5.244
42,0,1,33.605,6.032,32.967,5.263
43,0,1,33.624,6.076,32.986,5.307
44,0,1,33.649,6.114,33.011,5.345
45,0,1,33.680,6.159,33.042,5.390
46,0,1,33.687,6.190,33.049,5.421
47,0,1,33.712,6.228,33.074,5.460
48,0,1,33.731,6.260,33.093,5.491
49,0,1,33.762,6.305,33.124,5.536
50,0,1,33.768,6.425,33.085,5.662
51,0,1,33.761,6.425,33.123,5.662
52,0,1,33.812,6.482,33.180,5.713
