frame,id,class,tl_x,tl_y,br_x,br_y
0,1,1,26.727,10.905,25.564,10.191
1,1,1,26.764,10.923,25.546,10.182
2,1,1,26.801,10.933,25.583,10.191
3,1,1,26.838,10.942,25.620,10.201
4,1,1,26.875,10.951,25.657,10.210
5,1,1,26.903,10.960,25.685,10.219
6,1,1,26.949,10.970,25.731,10.229
7,1,1,27.005,10.979,25.787,10.238
8,1,1,27.060,10.961,25.843,10.220
9,1,1,27.097,10.979,25.879,10.238
10,1,1,27.135,10.970,25.917,10.229
11,1,1,27.265,10.943,26.047,10.202
12,1,1,27.246,10.970,26.028,10.229
13,1,1,27.283,10.980,26.065,10.239
14,1,1,27.283,10.998,26.065,10.257
15,1,1,27.375,10.998,26.158,10.257
16,1,1,27.431,11.008,26.213,10.267
17,1,1,27.477,11.017,26.260,10.276
18,1,1,27.505,11.008,26.288,10.267
19,1,1,27.542,10.998,26.325,10.257
20,1,1,27.570,10.989,26.353,10.248
21,1,1,27.617,10.999,26.399,10.258
22,1,1,27.654,10.989,26.436,10.248
23,1,1,27.691,10.980,26.473,10.239
24,1,1,27.728,10.971,26.511,10.230
25,1,1,27.784,10.980,26.566,10.240
26,1,1,27.830,10.971,26.613,10.230
27,1,1,27.876,10.981,26.659,10.240
28,1,1,27.913,10.971,26.696,10.231
29,1,1,27.960,10.981,26.742,10.240
30,1,1,28.025,10.972,26.807,10.231
31,1,1,28.052,10.981,26.835,10.240
32,1,1,28.099,10.972,26.882,10.231
33,1,1,28.154,10.981,26.937,10.240
34,1,1,28.210,10.972,26.993,10.231
35,1,1,28.229,10.981,27.011,10.240
36,1,1,28.284,10.990,27.067,10.250
37,1,1,28.321,11.000,27.104,10.259
38,1,1,28.358,11.009,27.141,10.268
39,1,1,28.395,11.018,27.178,10.278
40,1,1,28.432,11.028,27.215,10.287
41,1,1,28.460,11.037,27.243,10.296
42,1,1,28.506,11.028,27.289,10.287
43,1,1,28.562,11.037,27.345,10.296
44,1,1,28.608,11.028,27.391,10.287
45,1,1,28.654,11.037,27.437,10.297
46,1,1,28.691,11.046,27.474,10.306
47,1,1,28.737,11.056,27.521,10.315
48,1,1,28.802,11.047,27.586,10.306
49,1,1,28.812,11.056,27.595,10.315
50,1,1,28.886,11.065,27.669,10.325
51,1,1,28.932,11.075,27.715,10.334
52,1,1,28.969,11.065,27.752,10.325
53,1,1,29.015,11.075,27.799,10.334
