frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,25.064,12.959,26.442,13.793
1,0,1,25.027,12.935,26.467,13.805
2,0,1,25.176,12.934,26.615,13.805
3,0,1,25.324,12.934,26.764,13.805
4,0,1,25.473,12.934,26.912,13.805
5,0,1,25.621,12.959,27.060,13.829
6,0,1,25.794,12.958,27.233,13.829
7,0,1,25.942,12.983,27.381,13.853
8,0,1,26.066,12.983,27.505,13.853
9,0,1,26.165,12.983,27.604,13.853
10,0,1,26.289,12.983,27.727,13.853
11,0,1,26.412,12.983,27.851,13.853
12,0,1,26.561,12.982,27.999,13.853
13,0,1,26.734,12.982,28.172,13.852
14,0,1,26.882,12.982,28.320,13.852
15,0,1,27.055,12.982,28.493,13.852
16,0,1,27.203,12.982,28.641,13.852
17,0,1,27.376,12.982,28.814,13.852
18,0,1,27.500,12.957,28.937,13.827
19,0,1,27.648,12.957,29.086,13.827
20,0,1,27.771,12.957,29.209,13.827
21,0,1,27.920,12.957,29.357,13.826
22,0,1,28.068,12.957,29.505,13.826
23,0,1,28.216,12.957,29.653,13.826
24,0,1,28.364,12.956,29.801,13.826
25,0,1,28.537,12.981,29.973,13.850
26,0,1,28.685,12.981,30.121,13.850
27,0,1,28.857,12.981,30.294,13.850
28,0,1,29.005,12.980,30.442,13.850
29,0,1,29.153,13.005,30.590,13.874
30,0,1,29.301,13.005,30.737,13.874
31,0,1,29.424,13.029,30.860,13.898
32,0,1,29.572,13.029,31.008,13.898
33,0,1,29.720,13.029,31.156,13.898
34,0,1,29.868,13.029,31.304,13.898
35,0,1,30.041,13.029,31.476,13.898
36,0,1,30.213,13.029,31.649,13.897
37,0,1,30.361,13.028,31.796,13.897
38,0,1,30.484,13.004,31.920,13.872
39,0,1,30.632,13.004,32.067,13.872
40,0,1,30.780,13.004,32.215,13.872
41,0,1,30.928,13.003,32.363,13.872
42,0,1,31.076,13.003,32.510,13.872
43,0,1,31.223,13.003,32.658,13.872
44,0,1,31.371,13.003,32.806,13.871
45,0,1,31.543,13.003,32.978,13.871
46,0,1,31.716,13.003,33.150,13.871
47,0,1,31.888,13.003,33.322,13.871
