frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,33.116,3.523,32.206,2.395
1,0,1,33.140,3.554,32.187,2.376
2,0,1,33.140,3.573,32.187,2.395
3,0,1,33.153,3.629,32.199,2.451
4,0,1,33.152,3.667,32.199,2.488
5,0,1,33.152,3.704,32.199,2.526
6,0,1,33.152,3.755,32.198,2.576
7,0,1,33.151,3.792,32.198,2.613
8,0,1,33.151,3.823,32.198,2.645
9,0,1,33.138,3.892,32.185,2.714
10,0,1,33.138,3.923,32.185,2.745
11,0,1,33.138,3.992,32.184,2.814
12,0,1,33.137,4.030,32.184,2.851
13,0,1,33.137,4.092,32.184,2.914
14,0,1,33.124,4.124,32.171,2.945
15,0,1,33.124,4.192,32.170,3.014
16,0,1,33.123,4.224,32.170,3.045
17,0,1,33.123,4.280,32.170,3.101
18,0,1,33.123,4.330,32.169,3.151
19,0,1,33.122,4.368,32.169,3.189
20,0,1,33.135,4.405,32.181,3.226
21,0,1,33.134,4.468,32.181,3.289
22,0,1,33.134,4.486,32.181,3.308
23,0,1,33.134,4.530,32.181,3.352
24,0,1,33.146,4.568,32.193,3.389
25,0,1,33.158,4.618,32.205,3.439
26,0,1,33.171,4.662,32.217,3.483
27,0,1,33.170,4.712,32.217,3.533
28,0,1,33.183,4.762,32.229,3.583
29,0,1,33.195,4.818,32.241,3.640
30,0,1,33.207,4.868,32.254,3.690
31,0,1,33.219,4.906,32.266,3.727
32,0,1,33.232,4.950,32.278,3.771
33,0,1,33.263,4.962,32.183,3.952
34,0,1,33.231,5.019,32.246,3.890
35,0,1,33.237,5.062,32.252,3.934
36,0,1,33.237,5.113,32.252,3.984
37,0,1,33.300,5.063,32.199,4.278
38,0,1,33.261,5.194,32.257,4.140
39,0,1,33.294,4.994,32.192,4.415
40,0,1,33.274,5.175,32.199,4.384
41,0,1,33.280,5.275,32.154,4.440
42,0,1,33.316,5.432,32.167,4.447
43,0,1,33.266,5.401,32.223,4.478
44,0,1,33.279,5.438,32.235,4.516
45,0,1,33.285,5.469,32.241,4.547
46,0,1,33.240,5.601,32.253,4.622
47,0,1,33.290,5.632,32.190,4.659
48,0,1,33.271,5.607,32.234,4.685
49,0,1,33.284,5.638,32.247,4.716
50,0,1,33.289,5.689,32.252,4.766
51,0,1,33.302,5.720,32.265,4.797
52,0,1,33.314,5.764,32.277,4.841
53,0,1,33.333,5.801,32.296,4.879
54,0,1,33.345,5.833,32.308,4.910
55,0,1,33.357,5.864,32.320,4.941
56,0,1,33.351,5.902,32.314,4.979
57,0,1,33.382,5.933,32.345,5.010
58,0,1,33.407,5.964,32.370,5.042
59,0,1,33.432,5.977,32.395,5.054
60,0,1,33.457,6.008,32.420,5.086
61,0,1,33.526,6.090,32.388,5.180
62,0,1,33.519,6.115,32.400,5.192
63,0,1,33.538,6.134,32.444,5.236
64,0,1,33.601,6.134,32.463,5.274
65,0,1,33.557,6.165,32.513,5.261
66,0,1,33.588,6.190,32.544,5.286
67,0,1,33.619,6.215,32.576,5.311
68,0,1,33.644,6.246,32.601,5.343
69,0,1,33.675,6.272,32.632,5.368
70,0,1,33.694,6.309,32.650,5.405
71,0,1,33.719,6.353,32.675,5.449
72,0,1,33.737,6.378,32.694,5.474
73,0,1,33.751,6.240,32.718,5.637
74,0,1,33.731,6.341,32.793,5.669
75,0,1,33.712,6.378,32.799,5.713
76,0,1,33.749,6.478,32.855,5.744
77,0,1,33.805,6.522,32.893,5.769
78,0,1,33.886,6.629,32.843,5.756
79,0,1,33.924,6.698,32.786,5.744
80,0,1,33.917,6.717,32.818,5.725
81,0,1,33.967,6.735,32.843,5.744
82,0,1,33.967,6.754,32.874,5.725
83,0,1,33.992,6.748,32.956,5.769
84,0,1,34.011,6.748,32.931,5.782
85,0,1,33.986,6.704,32.968,5.838
86,0,1,34.024,6.736,33.005,5.870
87,0,1,34.043,6.773,33.024,5.907
88,0,1,34.074,6.823,33.055,5.957
89,0,1,34.073,6.855,33.055,5.989
90,0,1,34.111,6.892,33.092,6.026
91,0,1,34.111,6.942,33.092,6.076
92,0,1,34.148,6.986,33.129,6.120
93,0,1,34.148,7.024,33.129,6.158
94,0,1,34.173,7.061,33.154,6.195
95,0,1,34.185,7.093,33.166,6.227
96,0,1,34.222,7.149,33.204,6.283
97,0,1,34.222,7.181,33.204,6.315
98,0,1,34.247,7.237,33.228,6.371
99,0,1,34.266,7.268,33.247,6.402
100,0,1,34.284,7.306,33.266,6.440
101,0,1,34.284,7.362,33.265,6.496
102,0,1,34.391,7.287,33.339,6.703
103,0,1,34.397,7.331,33.326,6.772
104,0,1,34.447,7.344,33.332,6.828
105,0,1,34.402,7.507,33.383,6.672
