frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,31.337,4.138,30.491,3.070
1,0,1,31.356,4.138,30.516,3.082
2,0,1,31.375,4.176,30.510,3.101
3,0,1,31.388,4.169,30.497,3.120
4,0,1,31.439,4.188,30.427,3.209
5,0,1,31.490,4.181,30.370,3.317
6,0,1,31.426,4.163,30.536,3.455
7,0,1,31.471,4.182,30.504,3.600
8,0,1,31.522,4.175,30.555,3.606
9,0,1,31.604,4.200,30.498,3.619
10,0,1,31.572,4.238,30.472,3.664
11,0,1,31.446,4.403,30.536,3.739
12,0,1,31.344,4.505,30.536,3.815
13,0,1,31.395,4.713,30.530,3.802
14,0,1,31.395,4.770,30.479,3.834
15,0,1,31.395,4.827,30.466,3.815
16,0,1,31.395,4.846,30.473,3.809
17,0,1,31.396,4.890,30.447,3.828
18,0,1,31.345,4.935,30.523,3.891
19,0,1,31.319,4.948,30.555,3.890
20,0,1,31.319,4.948,30.530,3.910
21,0,1,31.408,4.915,30.454,4.011
22,0,1,31.370,4.966,30.479,4.106
23,0,1,31.377,4.985,30.486,4.125
24,0,1,31.421,4.947,30.448,4.334
25,0,1,31.440,4.972,30.422,4.372
26,0,1,31.389,5.010,30.454,4.384
27,0,1,31.415,5.130,30.429,4.372
28,0,1,31.402,5.257,30.448,4.435
29,0,1,31.371,5.365,30.454,4.485
30,0,1,31.301,5.454,30.518,4.517
31,0,1,31.307,5.517,30.537,4.529
32,0,1,31.314,5.555,30.524,4.523
33,0,1,31.320,5.587,30.550,4.529
34,0,1,31.339,5.618,30.512,4.593
35,0,1,31.346,5.650,30.537,4.649
36,0,1,31.365,5.669,30.550,4.655
37,0,1,31.365,5.599,30.601,4.845
38,0,1,31.416,5.611,30.544,4.896
39,0,1,31.416,5.681,30.493,4.865
40,0,1,31.428,5.656,30.474,5.092
41,0,1,31.428,5.668,30.461,5.168
42,0,1,31.384,5.732,30.468,5.187
43,0,1,31.435,5.864,30.417,5.150
44,0,1,31.334,5.966,30.519,5.276
45,0,1,31.302,6.061,30.576,5.294
46,0,1,31.378,6.175,30.500,5.257
47,0,1,31.321,6.270,30.525,5.288
48,0,1,31.328,6.321,30.531,5.288
49,0,1,31.283,6.334,30.544,5.282
50,0,1,31.296,6.384,30.544,5.320
51,0,1,31.315,6.391,30.519,5.383
52,0,1,31.277,6.423,30.538,5.427
53,0,1,31.334,6.454,30.512,5.447
54,0,1,31.468,6.396,30.360,5.504
