frame,id,class,tl_x,tl_y,br_x,br_y
0,0,1,33.956,9.107,33.146,8.371
1,0,1,33.983,9.134,33.137,8.362
2,0,1,34.019,9.143,33.172,8.370
3,0,1,34.055,9.151,33.208,8.379
4,0,1,34.073,9.142,33.226,8.370
5,0,1,34.127,9.151,33.280,8.379
6,0,1,34.145,9.160,33.298,8.388
7,0,1,34.199,9.168,33.352,8.396
8,0,1,34.216,9.150,33.370,8.378
9,0,1,34.270,9.168,33.424,8.396
10,0,1,34.288,9.177,33.442,8.404
11,0,1,34.324,9.176,33.477,8.404
12,0,1,34.360,9.176,33.513,8.404
13,0,1,34.396,9.185,33.549,8.413
14,0,1,34.414,9.194,33.567,8.422
15,0,1,34.432,9.202,33.585,8.430
16,0,1,34.485,9.193,33.639,8.421
17,0,1,34.503,9.193,33.657,8.421
18,0,1,34.539,9.193,33.693,8.421
19,0,1,34.575,9.201,33.729,8.429
20,0,1,34.611,9.210,33.764,8.438
21,0,1,34.647,9.219,33.800,8.447
22,0,1,34.682,9.209,33.836,8.438
23,0,1,34.718,9.209,33.872,8.437
24,0,1,34.754,9.209,33.908,8.437
25,0,1,34.790,9.218,33.944,8.446
26,0,1,34.825,9.200,33.979,8.428
27,0,1,34.861,9.217,34.015,8.445
28,0,1,34.879,9.208,34.033,8.436
29,0,1,34.888,9.208,34.042,8.436
30,0,1,34.951,9.208,34.105,8.436
31,0,1,34.969,9.216,34.123,8.445
32,0,1,34.995,9.198,34.150,8.427
33,0,1,35.040,9.198,34.194,8.426
34,0,1,35.076,9.189,34.230,8.417
35,0,1,35.085,9.198,34.239,8.426
36,0,1,35.112,9.206,34.266,8.435
37,0,1,35.148,9.215,34.302,8.443
38,0,1,35.165,9.197,34.320,8.425
39,0,1,35.183,9.215,34.338,8.443
40,0,1,35.219,9.224,34.374,8.452
41,0,1,35.255,9.223,34.409,8.452
42,0,1,35.291,9.223,34.445,8.451
43,0,1,35.309,9.232,34.463,8.460
44,0,1,35.318,9.241,34.472,8.469
45,0,1,35.381,9.249,34.535,8.478
46,0,1,35.398,9.240,34.553,8.469
47,0,1,35.443,9.240,34.597,8.468
48,0,1,35.470,9.258,34.624,8.486
49,0,1,35.524,9.266,34.678,8.495
50,0,1,35.533,9.266,34.687,8.495
51,0,1,35.595,9.283,34.750,8.512
52,0,1,35.613,9.274,34.768,8.503
53,0,1,35.658,9.283,34.813,8.512
54,0,1,35.685,9.274,34.839,8.502
55,0,1,35.738,9.282,34.893,8.511
56,0,1,35.747,9.291,34.902,8.520
57,0,1,35.810,9.300,34.965,8.528
58,0,1,35.846,9.291,35.001,8.519
59,0,1,35.873,9.299,35.027,8.528
60,0,1,35.917,9.290,35.072,8.519
61,0,1,35.953,9.299,35.108,8.527
62,0,1,35.980,9.281,35.135,8.509
63,0,1,36.025,9.298,35.180,8.527
64,0,1,36.060,9.289,35.215,8.518
65,0,1,36.087,9.289,35.242,8.518
66,0,1,36.132,9.289,35.287,8.517
67,0,1,36.168,9.297,35.323,8.526
68,0,1,36.194,9.288,35.349,8.517
69,0,1,36.239,9.279,35.394,8.508
70,0,1,36.275,9.270,35.430,8.498
71,0,1,36.302,9.278,35.457,8.507
72,0,1,36.346,9.269,35.501,8.498
73,0,1,36.364,9.260,35.519,8.489
74,0,1,36.418,9.242,35.573,8.471
75,0,1,36.436,9.260,35.591,8.488
76,0,1,36.489,9.250,35.644,8.479
77,0,1,36.480,9.250,35.635,8.479
78,0,1,36.525,9.250,35.680,8.479
79,0,1,36.561,9.259,35.716,8.488
80,0,1,36.587,9.241,35.743,8.470
81,0,1,36.632,9.258,35.788,8.487
82,0,1,36.668,9.249,35.823,8.478
83,0,1,36.695,9.249,35.850,8.478
84,0,1,36.739,9.249,35.895,8.478
85,0,1,36.757,9.257,35.913,8.486
86,0,1,36.811,9.239,35.966,8.468
87,0,1,36.829,9.257,35.984,8.486
88,0,1,36.882,9.248,36.038,8.477
89,0,1,36.891,9.248,36.047,8.477
90,0,1,36.811,9.230,36.226,8.582
