frame,id,class,tl_x,tl_y,br_x,br_y
0,0,2,30.159,7.677,28.037,6.780
1,0,2,30.221,7.707,27.996,6.770
2,0,2,30.160,7.718,27.935,6.781
3,0,2,30.078,7.709,27.852,6.771
4,0,2,29.976,7.741,27.750,6.803
5,0,2,29.894,7.721,27.668,6.783
6,0,2,29.823,7.742,27.596,6.805
7,0,2,29.741,7.753,27.514,6.816
8,0,2,29.669,7.764,27.442,6.827
9,0,2,29.608,7.775,27.381,6.838
10,0,2,29.547,7.786,27.319,6.849
11,0,2,29.434,7.787,27.206,6.850
12,0,2,29.373,7.809,27.145,6.871
13,0,2,29.271,7.810,27.042,6.872
14,0,2,29.220,7.831,26.991,6.893
15,0,2,29.117,7.842,26.888,6.904
16,0,2,29.056,7.853,26.827,6.915
17,0,2,28.923,7.854,26.693,6.917
18,0,2,28.851,7.876,26.621,6.938
19,0,2,28.739,7.877,26.508,6.939
20,0,2,28.667,7.898,26.437,6.960
21,0,2,28.585,7.909,26.354,6.971
22,0,2,28.473,7.921,26.241,6.983
23,0,2,28.380,7.922,26.149,6.984
24,0,2,28.299,7.943,26.067,7.005
25,0,2,28.186,7.945,25.953,7.006
26,0,2,28.094,7.966,25.861,7.028
27,0,2,28.032,7.977,25.799,7.039
28,0,2,27.899,7.989,25.666,7.050
29,0,2,27.827,7.979,25.593,7.041
30,0,2,27.725,8.011,25.491,7.073
31,0,2,27.663,7.991,25.429,7.053
32,0,2,27.530,8.024,25.295,7.085
33,0,2,27.437,8.035,25.202,7.096
34,0,2,27.355,8.046,25.120,7.107
35,0,2,27.243,8.068,25.007,7.129
36,0,2,27.150,8.079,24.914,7.140
37,0,2,27.037,8.091,24.801,7.152
38,0,2,26.924,8.092,24.687,7.153
39,0,2,26.822,8.103,24.584,7.164
40,0,2,26.740,8.145,24.502,7.206
41,0,2,26.606,8.136,24.368,7.197
42,0,2,26.504,8.168,24.265,7.229
43,0,2,26.380,8.180,24.141,7.241
44,0,2,26.288,8.202,24.049,7.263
45,0,2,26.206,8.213,23.966,7.274
46,0,2,26.103,8.245,23.863,7.306
47,0,2,25.980,8.267,23.740,7.328
48,0,2,25.877,8.278,23.636,7.339
49,0,2,25.774,8.290,23.533,7.350
50,0,2,25.641,8.312,23.399,7.372
51,0,2,25.548,8.323,23.306,7.384
52,0,2,25.466,8.355,23.224,7.416
53,0,2,25.343,8.377,23.100,7.438
54,0,2,25.240,8.409,22.997,7.470
55,0,2,25.106,8.421,22.862,7.481
56,0,2,24.993,8.443,22.749,7.503
57,0,2,24.890,8.454,22.646,7.515
58,0,2,24.787,8.487,22.542,7.547
59,0,2,24.654,8.529,22.408,7.589
60,0,2,24.561,8.561,22.316,7.621
61,0,2,24.458,8.562,22.212,7.623
62,0,2,24.335,8.605,22.088,7.665
63,0,2,24.232,8.637,21.985,7.697
64,0,2,24.129,8.670,21.882,7.730
65,0,2,23.995,8.692,21.747,7.752
66,0,2,23.872,8.734,21.623,7.794
67,0,2,23.779,8.735,21.530,7.795
68,0,2,23.666,8.778,21.417,7.838
69,0,2,23.438,8.791,21.668,8.022
70,0,2,23.356,8.813,21.627,8.043
71,0,2,23.595,8.893,21.418,7.983
72,0,2,23.481,8.915,21.305,8.005
73,0,2,23.327,8.958,21.150,8.048
74,0,2,23.265,8.990,21.088,8.080
75,0,2,23.131,9.012,20.953,8.102
76,0,2,22.603,9.007,20.893,8.258
77,0,2,22.873,9.087,20.726,8.188
78,0,2,22.760,9.120,20.612,8.220
79,0,2,22.615,9.132,20.467,8.232
80,0,2,22.211,9.126,20.375,8.378
81,0,2,22.243,9.188,20.261,8.400
82,0,2,22.172,9.344,20.062,8.278
83,0,2,21.870,9.223,20.023,8.444
84,0,2,21.736,9.256,19.940,8.476
85,0,2,21.706,9.308,19.919,8.508
86,0,2,21.622,9.257,19.701,8.531
87,0,2,21.737,9.328,19.690,8.479
88,0,2,21.489,9.373,19.443,8.648
89,0,2,21.167,9.397,19.361,8.721
90,0,2,21.075,9.439,19.319,8.701
91,0,2,21.365,9.447,19.349,8.628
92,0,2,20.910,9.524,18.943,8.674
93,0,2,20.671,9.506,18.872,8.747
94,0,2,21.076,9.533,19.080,8.724
95,0,2,20.650,9.559,18.590,8.740
96,0,2,20.650,9.559,18.653,8.750
97,0,2,22.000,9.616,20.007,8.808
98,0,2,20.122,9.679,18.279,8.858
99,0,2,20.278,9.667,18.289,8.858
100,0,2,19.270,9.730,17.278,8.921
101,0,2,20.008,9.722,18.019,8.913
102,0,2,19.884,9.765,17.894,8.956
103,0,2,20.061,9.773,18.072,8.964
104,0,2,19.656,9.799,17.665,8.990
105,0,2,19.532,9.852,17.541,9.043
106,0,2,19.355,9.875,17.364,9.066
107,0,2,19.250,9.834,17.168,9.245
108,0,2,19.116,9.867,17.126,9.235
109,0,2,19.157,9.836,17.010,9.205
110,0,2,19.106,9.940,17.114,9.162
111,0,2,18.564,9.884,16.791,9.197
112,0,2,18.491,9.885,16.624,9.230
113,0,2,18.481,9.916,16.573,9.283
114,0,2,18.491,9.916,16.385,9.327
115,0,2,18.234,10.210,16.437,9.316
116,0,2,18.078,10.171,16.281,9.349
117,0,2,17.984,10.203,16.167,9.444
118,0,2,18.023,9.995,15.927,9.478
119,0,2,17.836,10.080,15.939,9.582
120,0,2,17.692,10.207,15.604,9.617
121,0,2,17.651,10.238,15.626,9.669
122,0,2,17.257,10.493,15.551,9.544
123,0,2,17.213,10.327,15.426,9.619
124,0,2,17.151,10.317,15.196,9.653
125,0,2,17.068,10.370,15.050,9.696
126,0,2,17.101,10.516,14.946,9.729
127,0,2,16.728,10.718,15.009,9.780
128,0,2,16.851,10.571,14.958,9.895
129,0,2,16.510,10.887,14.844,9.938
130,0,2,16.343,10.889,14.834,10.001
131,0,2,16.386,10.972,14.435,9.943
132,0,2,16.198,10.985,14.446,9.974
133,0,2,16.169,11.183,14.278,9.997
134,0,2,16.051,10.956,14.143,10.135
135,0,2,15.791,11.032,13.998,10.209
136,0,2,15.884,10.968,14.030,10.292
137,0,2,15.769,11.011,13.915,10.336
138,0,2,15.644,11.065,13.790,10.389
139,0,2,15.551,11.097,13.696,10.422
140,0,2,15.468,11.182,13.613,10.506
141,0,2,15.090,11.875,13.444,10.446
142,0,2,15.333,11.256,13.477,10.581
143,0,2,15.229,11.300,13.373,10.624
144,0,2,15.104,11.353,13.248,10.678
145,0,2,15.010,11.407,13.154,10.731
146,0,2,14.927,11.491,13.071,10.816
147,0,2,14.591,12.205,12.923,10.765
148,0,2,14.845,11.586,12.988,10.911
149,0,2,14.741,11.629,12.883,10.954
150,0,2,14.658,11.724,12.801,11.049
151,0,2,14.575,11.777,12.717,11.102
152,0,2,14.481,11.862,12.624,11.187
153,0,2,14.378,11.936,12.519,11.261
154,0,2,14.264,12.053,12.405,11.378
155,0,2,14.181,12.116,12.322,11.441
156,0,2,14.098,12.222,12.239,11.547
157,0,2,14.004,12.265,12.145,11.590
158,0,2,13.922,12.370,12.062,11.696
159,0,2,13.839,12.434,11.979,11.759
160,0,2,13.746,12.561,11.886,11.886
161,0,2,13.663,12.645,11.803,11.971
162,0,2,13.580,12.751,11.720,12.076
163,0,2,13.507,12.793,11.647,12.119
164,0,2,13.446,12.899,11.585,12.225
165,0,2,13.363,12.983,11.502,12.309
166,0,2,13.291,13.120,11.430,12.446
167,0,2,12.482,13.915,11.303,12.406
168,0,2,13.208,13.226,11.347,12.552
169,0,2,13.157,13.289,11.295,12.615
170,0,2,13.095,13.405,11.233,12.731
171,0,2,12.256,14.336,11.022,12.724
180,0,2,12.168,15.623,11.405,13.764
202,0,2,11.425,18.300,10.661,16.442
204,0,2,11.416,18.405,10.593,16.872
205,0,2,11.524,18.581,10.699,16.860
206,0,2,11.505,18.748,10.710,16.933
207,0,2,11.527,18.831,10.701,16.985
208,0,2,11.518,18.957,10.619,17.217
209,0,2,11.531,19.093,10.663,17.300
210,0,2,11.575,19.228,10.632,17.405
211,0,2,11.575,19.290,10.687,17.519
212,0,2,11.599,19.478,10.719,17.602
213,0,2,11.578,19.499,10.766,17.915
214,0,2,11.621,19.551,10.842,18.060
215,0,2,11.644,19.665,10.854,18.154
216,0,2,11.616,19.990,10.790,18.103
217,0,2,11.690,19.957,10.919,18.330
218,0,2,11.711,19.935,10.836,18.447
219,0,2,11.714,20.217,10.921,18.456
220,0,2,11.780,20.383,10.892,18.634
221,0,2,11.802,20.498,10.956,18.738
222,0,2,11.909,20.590,10.978,18.800
223,0,2,11.931,20.641,11.067,19.112
224,0,2,11.902,20.820,11.025,19.144
225,0,2,12.018,20.859,10.985,19.260
226,0,2,11.988,21.006,11.018,19.364
227,0,2,12.074,21.119,11.186,19.340
228,0,2,12.032,21.120,11.149,19.685
229,0,2,12.088,21.390,11.192,19.768
230,0,2,12.142,21.441,11.310,19.922
231,0,2,12.187,21.670,11.216,19.987
232,0,2,12.210,21.847,11.238,20.070
233,0,2,12.167,21.775,11.378,20.266
234,0,2,12.234,22.066,11.283,20.299
235,0,2,12.289,22.211,11.338,20.413
236,0,2,12.360,22.053,11.415,20.641
237,0,2,12.355,22.408,11.404,20.652
238,0,2,12.356,22.471,11.480,20.807
239,0,2,12.430,22.532,11.535,20.994
240,0,2,12.430,22.542,11.589,21.087
241,0,2,12.433,22.761,11.601,21.212
242,0,2,12.497,22.843,11.666,21.284
243,0,2,12.571,22.831,11.658,21.504
244,0,2,12.552,22.957,11.753,21.481
245,0,2,12.617,23.122,11.764,21.522
246,0,2,12.621,23.415,11.681,21.608
247,0,2,12.770,23.578,11.640,21.713
248,0,2,12.718,23.632,11.737,21.857
249,0,2,12.919,23.690,11.728,22.025
