simulation_id,distance_min,angle_at_min,relative_speed_mean,cyclist_speed_mean,pedestrian_speed_mean,cyclist_speed_max,distance_mean,angle_mean,heading_mean,cyclist_delta_v_mean,pedestrian_delta_v_mean,cyclist_delta_v_abs_mean,pedestrian_delta_v_abs_mean,cyclist_acc_mean,pedestrian_acc_mean,cyclist_acc_mean_positive,pedestrian_acc_mean_positive,cyclist_dec_mean,pedestrian_dec_mean,model,speed_type,sfm,angle_increase_distance
1,1.936684,52.82325,2.4602293427781747,2.0410967927927928,1.2039828975225226,3.576655,6.398299279279279,66.54046579954955,-1.4056628883009834,0.0009861960563380282,0.0004824467605633774,0.0038999977464788736,0.32129357577464784,0.1980589864526258,,0.7178727304818863,inf,-0.9366340043005004,-inf,Moussaid,Fixed,SFM,4.277494
2,2.172087,62.959251,2.646176209557324,2.1765621256038648,1.2826962361111112,3.841183,6.45974738647343,65.83081124033816,-1.4132890512420608,0.00025754891304347787,0.0004145205314009619,0.005292810990338164,0.3195940265700483,0.26007993501248705,,0.8639138316174599,inf,-0.8364930555827033,-inf,Moussaid,Fixed,SFM,4.623369
3,1.748836,66.015894,2.722229923760104,2.2693413737373738,1.2160128383838387,3.716602,6.297500819444444,70.72410844760101,-1.4062944800906227,-5.737373737373728e-06,-0.00035710542929293153,0.004564090909090908,0.3961639210858586,0.27019776829045394,,0.6447886130433687,inf,-0.6451096088519599,-inf,Moussaid,Fixed,SFM,6.900676
4,0.969394,117.150853,3.21218625365803,2.765462269230769,1.2643530673076924,3.442847,6.204808502060439,100.22280236195056,-1.3536754696455777,-0.0002879306318681322,-0.0001156978021977892,0.004564958104395604,0.4457853118131868,0.2362404839790886,,0.6487572167592369,inf,-0.5713950479822019,-inf,Moussaid,Fixed,SFM,9.123294
5,1.969236,62.222828,2.7778603289573423,2.3469076173469388,1.343321963010204,3.643562,6.6344258067602055,70.82670193622448,-1.465516616209802,-0.00011796938775510177,0.00014306377551021342,0.004940030612244899,0.44290027806122445,0.19703787218318214,,0.6179516415540345,inf,-1.331599481187228,-inf,Moussaid,Fixed,SFM,6.528549
6,2.100941,53.002473,2.864382703797338,2.3780435760869567,1.4071587982336957,3.658389,6.396160601902174,68.41556572690217,-1.4395599175908258,0.00037016644021739103,8.278600543477476e-05,0.004503728940217391,0.34611830366847823,0.2836273326634828,,0.6142473020849865,inf,-1.0133155917385734,-inf,Moussaid,Fixed,SFM,4.655532
7,1.894411,69.661688,2.8109139366313185,2.362380443850267,1.3265240514705883,3.712304,6.347814456550803,67.55175927473262,-1.42804415019402,-1.0405748663101676e-05,0.000106834893048125,0.005110102272727273,0.2716384445187166,0.27646665306173196,,0.6623978693269377,inf,-1.0401435490603606,-inf,Moussaid,Fixed,SFM,6.549483
8,1.380401,89.111721,1.467450995078451,1.3095311557894738,1.2860992973684209,3.4893,5.271774623421052,91.06484040263157,-1.9583067600698136,-2.0827368421052718e-05,0.00012100131578947065,0.002681748421052632,0.3798048660526316,0.1015064455556588,,0.7263159353904071,inf,-0.7305788499829726,-inf,Moussaid,Fixed,SFM,7.670633
9,1.988816,59.333805,2.8145646110587745,2.3150990265957447,1.402001587101064,3.698748,6.426614672207447,68.05169798138297,-1.4276579626275527,0.00023318351063829787,-0.0002430405585106431,0.004472385638297873,0.40530122938829793,0.31153180701956734,,0.6061449679927732,inf,-0.729980136762591,-inf,Moussaid,Fixed,SFM,6.934913
10,1.910626,51.281155,2.791982746019803,2.332980788659794,1.3117090850515465,3.810035,6.463362677835051,68.25989997487113,-1.408355453422296,-0.00010553543814433005,0.00014005219072165144,0.005218262242268043,0.2917563524484536,0.2800891140956617,,0.7630342087847649,inf,-0.7120183969438267,-inf,Moussaid,Fixed,SFM,4.495955
