scenario,variable,model,sfm,speed_type,simulation_mean,simulation_std,real_value,absolute_difference,relative_error_percent,n_simulations
intersection_right,distance_min,NES,SFM,Random,0.85980925,0.4329260719569706,0.8321631045670894,0.02764614543291055,3.3222027366008633,20
intersection_right,angle_at_min,NES,SFM,Fixed,91.45044135,17.331302286689514,89.92377302732405,1.5266683226759596,1.6977360616441988,20
intersection_right,angle_increase_distance,NES,SFM,Random,7.0458444,1.9125912810711572,7.357831489551163,0.31198708955116317,4.240204331863474,20
intersection_right,cyclist_speed_mean,Moussaid,SFM,Random,2.620676024244377,0.4731949241149454,2.5394149328132993,0.08126109143107785,3.1999926589804084,20
intersection_right,relative_speed_mean,Moussaid,SFM,Random,3.0407137838565745,0.42418714835747,2.9778074533310845,0.06290633052549,2.1125049725804357,20
