index,sum_sq,df,F,PR(>F)
C(model),60.59763555286696,1.0,3.540377791547035,0.061803851772898724
C(sfm),28.847050575197642,1.0,1.685370332955705,0.19617874250301626
C(speed_type),80.44845868163834,1.0,4.700149335565726,0.03171602324827746
C(model):C(sfm),5.16581868937705,1.0,0.3018096266656042,0.5835563744655168
C(model):C(speed_type),30.864386483715144,1.0,1.8032318828898561,0.18132407637392475
C(sfm):C(speed_type),19.30403877404885,1.0,1.127826020590864,0.2899239363675152
C(model):C(sfm):C(speed_type),1.6959414748763664,1.0,0.09908428734282092,0.7533629879565177
Residual,2601.6547234104437,152.0,,
