model,speed_type,sfm,mean_angle_increase_distance,std_angle_increase_distance,median_angle_increase_distance,min_angle_increase_distance,max_angle_increase_distance,n_simulations
Moussaid,Fixed,SFM,7.95429855,0.27238561913976905,7.891937,7.617921,8.474458,20
Moussaid,Fixed,Without SFM,7.83638915,0.34233128289410486,7.958171500000001,6.834376,8.227707,20
Moussaid,Random,SFM,6.9030209,0.9739694706625155,6.7458905,5.312883,8.875648,20
Moussaid,Random,Without SFM,6.7161503499999995,1.1080086552463233,7.039372999999999,3.883587,8.361119,20
NES,Fixed,SFM,8.06964765,0.32115967535156653,8.054776,7.513217,8.664373,20
NES,Fixed,Without SFM,8.02724015,0.3784240523552596,8.0870025,7.277081,8.668724,20
NES,Random,SFM,5.57612175,1.475864640164676,5.4607969999999995,2.653738,8.234159,20
NES,Random,Without SFM,6.54733085,0.7711711473962509,6.470644,4.999286,7.788108,20
