scenario,model,sfm,speed_type,variable,simulation_mean,simulation_std,simulation_median,real_value,difference_sim_minus_real,absolute_difference,relative_error_percent,n_simulations,rank
overtaking,NES,SFM,Fixed,angle_at_min,91.32836990000001,1.5771295047639033,91.590271,87.14193391238214,4.18643598761787,4.18643598761787,4.804157768436915,20,1.0
overtaking,NES,Without SFM,Fixed,angle_at_min,91.32943689999999,2.1293482499200236,91.48852049999999,87.14193391238214,4.187502987617847,4.187502987617847,4.805382207638655,20,2.0
overtaking,NES,SFM,Random,angle_at_min,91.37934279999999,6.274733563525291,89.4812795,87.14193391238214,4.237408887617846,4.237408887617846,4.8626518799529945,20,3.0
overtaking,Moussaid,SFM,Fixed,angle_at_min,91.52732699999999,2.7928771227132345,91.22540950000001,87.14193391238214,4.385393087617842,4.385393087617842,5.032471613525569,20,4.0
overtaking,Moussaid,Without SFM,Fixed,angle_at_min,91.8353122,2.5173241351577773,91.31946500000001,87.14193391238214,4.693378287617861,4.693378287617861,5.385900997259106,20,5.0
overtaking,NES,Without SFM,Random,angle_at_min,92.35798144999998,2.5711857904391824,92.2340145,87.14193391238214,5.21604753761784,5.21604753761784,5.98569173695683,20,6.0
overtaking,Moussaid,SFM,Random,angle_at_min,92.9233081,5.965875760095535,91.197811,87.14193391238214,5.781374187617857,5.781374187617857,6.634434110024234,20,7.0
overtaking,Moussaid,Without SFM,Random,angle_at_min,95.03250115000002,5.84770894057074,94.002183,87.14193391238214,7.890567237617873,7.890567237617873,9.05484522015719,20,8.0
overtaking,NES,SFM,Fixed,angle_increase_distance,8.069647649999999,0.32115967535156653,8.054776,11.37053406269273,-3.3008864126927318,3.3008864126927318,29.03017918501383,20,1.0
overtaking,NES,Without SFM,Fixed,angle_increase_distance,8.02724015,0.3784240523552595,8.0870025,11.37053406269273,-3.3432939126927295,3.3432939126927295,29.403138799453917,20,2.0
overtaking,Moussaid,SFM,Fixed,angle_increase_distance,7.95429855,0.2723856191397691,7.891937,11.37053406269273,-3.4162355126927304,3.4162355126927304,30.04463549255407,20,3.0
overtaking,Moussaid,Without SFM,Fixed,angle_increase_distance,7.8363891500000005,0.34233128289410497,7.958171500000001,11.37053406269273,-3.53414491269273,3.53414491269273,31.081608772348073,20,4.0
overtaking,Moussaid,SFM,Random,angle_increase_distance,6.9030209,0.9739694706625157,6.7458905,11.37053406269273,-4.467513162692731,4.467513162692731,39.29026673734575,20,5.0
overtaking,Moussaid,Without SFM,Random,angle_increase_distance,6.716150350000001,1.1080086552463233,7.039372999999999,11.37053406269273,-4.654383712692729,4.654383712692729,40.933729999226564,20,6.0
overtaking,NES,Without SFM,Random,angle_increase_distance,6.54733085,0.7711711473962509,6.470644,11.37053406269273,-4.8232032126927304,4.8232032126927304,42.418440383709786,20,7.0
overtaking,NES,SFM,Random,angle_increase_distance,5.57612175,1.4758646401646758,5.4607969999999995,11.37053406269273,-5.79441231269273,5.79441231269273,50.95989582146784,20,8.0
overtaking,Moussaid,Without SFM,Fixed,cyclist_speed_mean,4.768392037651578,0.038769471383635526,4.777448830372335,6.847157913814309,-2.0787658761627306,2.0787658761627306,30.359543365704617,20,1.0
