simulation_id,distance_min,angle_at_min,relative_speed_mean,cyclist_speed_mean,pedestrian_speed_mean,cyclist_speed_max,distance_mean,angle_mean,heading_mean,cyclist_delta_v_mean,pedestrian_delta_v_mean,cyclist_delta_v_abs_mean,pedestrian_delta_v_abs_mean,cyclist_acc_mean,pedestrian_acc_mean,cyclist_acc_mean_positive,pedestrian_acc_mean_positive,cyclist_dec_mean,pedestrian_dec_mean,model,speed_type,sfm,angle_increase_distance
13,1.142541,95.264561,3.2579762946799606,4.777541221105526,1.5393208894472363,6.302049,8.720307005025127,52.39024829145729,-0.16875268661270237,-0.0018143266331658325,0.0012345628140703515,0.06070283919597989,0.01476208040201005,0.5782132879499489,0.19903757153169024,0.8986918209610417,0.38636097442732337,-0.8977806432745713,-0.009335181560397029,Moussaid,Fixed,SFM,7.884853
14,1.197578,94.62134,3.42264700642585,4.7711360808080805,1.362387131313131,6.317712,8.80418104040404,55.663233580808075,-0.96045723418889,0.00042080808080807887,-0.0009507727272727278,0.05860904040404041,0.015327297979797979,0.587253183296845,0.1746242392411472,0.864474413922954,0.25597352292505554,-1.0650016307215677,-0.03139750990111165,Moussaid,Fixed,SFM,7.906695
15,1.168296,94.849501,3.363447031534354,4.741577761421319,1.3917479035532996,6.303692,8.742205695431473,53.484294055837566,-0.1785209502083903,0.0006417461928934015,-8.597969543147213e-05,0.05890282233502538,0.014619015228426393,0.6051835903977165,0.1733403105500427,0.8995457057238018,0.4113844881057599,-0.8304479613524105,-0.032204103663582485,Moussaid,Fixed,SFM,7.880679
16,1.155926,95.257983,3.1761079804083154,4.737069396907216,1.572806974226804,6.255104,8.696714974226806,47.96836752061857,-0.5209469141982604,0.0008326340206185572,0.0012816804123711337,0.05988359278350516,0.01589698969072165,0.6352629098586206,0.2080756097942525,0.9202215973773045,0.4788004235583195,-0.7271045778120095,-0.05858947952221861,Moussaid,Fixed,SFM,7.679168
17,1.158174,91.419402,3.593427700075413,4.7856220201005035,1.2090739949748743,6.394929,8.91774191959799,59.14288870854271,-1.5585476051146785,-0.001411512562814068,-0.002068190954773868,0.06088008542713568,0.014681809045226132,0.5840204212013133,0.1508873243754619,0.8857636860845356,0.40225543925825163,-1.0226603792598747,-0.0329108954006517,Moussaid,Fixed,SFM,8.066071
18,1.224153,90.401164,3.2758893894702483,4.761027681818182,1.4998694191919195,6.368089,8.700987575757576,52.7412287979798,-0.4798949238136724,0.00019888888888888875,0.0016522929292929285,0.05996062626262628,0.014038373737373733,0.5921957515267016,0.19348163971572532,0.9247877371193906,0.43146583487841333,-0.8787796353870819,-0.014515568759543898,Moussaid,Fixed,SFM,7.617921
19,1.118779,92.177146,3.4908300278940088,4.794987469072165,1.316302505154639,6.319652,8.803414015463918,56.357404149484545,-0.9147888448938352,0.0008281701030927826,-0.0009466082474226803,0.059224489690721645,0.015106494845360828,0.6250940058779686,0.17337139075083777,0.8417705600868334,0.23360944232085212,-1.2179034877348134,-0.035326910775136805,Moussaid,Fixed,SFM,8.439628
20,1.109488,90.097937,2.9951872033134053,4.773278444444444,1.8039223333333332,6.127531,8.662229464646465,46.198379207070715,0.35952145345234815,-0.002354257575757572,0.0026163535353535355,0.061139055555555565,0.01689827272727273,0.5568103119801842,0.2364688868681918,0.9571526106841542,0.3631356788027396,-0.783083445598111,-0.05090364416766855,Moussaid,Fixed,SFM,7.696819
1,1.18262,88.884724,3.433745527453601,4.775392567961165,1.3638116553398059,6.291243,8.941846247572816,60.657098718446605,-0.7838569884492829,0.01975269268292683,0.006737843902439025,0.036799599999999995,0.006901980487804876,0.49381508055457496,0.16844869219614575,0.8376420513240176,0.3640893342948837,-1.4090317214634578,-0.01401980640329878,Moussaid,Fixed,Without SFM,8.057849
2,1.131843,92.582874,3.7938093721414505,4.79440771573604,1.007676076142132,6.406203,9.034624446700507,63.63671780203046,-0.6912897280171166,0.0037048832487309633,-0.0018932030456852802,0.05626970558375635,0.012582401015228424,0.600928202974831,0.1260599076187757,0.8391334608309965,0.26324501511169823,-1.4652316560106846,-0.0292294060837454,Moussaid,Fixed,Without SFM,8.074358
