index,sum_sq,df,F,PR(>F)
C(model),0.2793538254900807,1.0,2.2765495497506323,0.13341959831887357
C(sfm),0.32004317276064387,1.0,2.6081409107994427,0.10839021454961197
C(speed_type),32.342552514327714,1.0,263.5704853338168,5.136675733305558e-35
C(model):C(sfm),0.2114394362154279,1.0,1.7230920409674213,0.19127404172819218
C(model):C(speed_type),0.22586354435075726,1.0,1.8406390150367078,0.1768875877095634
C(sfm):C(speed_type),0.31516009432065123,1.0,2.568347040053409,0.11109766262103067
C(model):C(sfm):C(speed_type),0.2558773152466774,1.0,2.0852314651295445,0.15078771516786388
Residual,18.651815190731703,152.0,,
