time_step	object_id	x_m	y_m
0	6	19.831000000000003	13.469999999999999
1	6	21.075780185430464	13.435665350993377
2	6	22.928226650516933	13.401452262113065
3	6	24.98904826473412	13.398663295383308
4	6	27.18738013015999	13.37745294470131
5	6	29.530249093839817	13.375749476882639
6	6	31.91365213060795	13.462256370568648
7	6	34.33551467265955	13.684711554041767
8	6	36.79892728496007	13.966047046684075
9	6	39.304376907691065	14.190450290885485
10	6	41.796385064108534	14.181865515510413
11	6	44.28217175397861	14.058337938777994
12	6	46.631311432966434	13.877336467209199
13	6	49.147666389514924	13.667948171128256
14	6	51.579828432623835	13.494454930631603
15	6	54.05750734926908	13.355863456948912
16	6	56.45084123160325	13.283625308411679
17	12	22.287	13.3665
18	12	23.485956953642383	13.40573348344371
19	12	25.529082112566545	13.502221459168647
20	12	27.827666086897903	13.565486468776504
21	12	30.20333433462726	13.624011391188366
22	12	32.57285156967608	13.750661487033057
23	12	35.0293801562031	14.07435565205776
24	12	37.40081762946939	14.499387557767383
25	12	39.45251912371284	14.883012811534641
26	12	41.76942423792223	15.094773062585618
27	12	44.08950517482336	15.048608134491813
28	12	46.49286156584391	14.75775279157925
29	12	48.68442317924978	14.415477985437782
30	12	50.907206302048145	14.07930107669298
31	12	53.13767748420453	13.78794922460182
32	12	55.37117918882996	13.53252893372701
33	14	18.609	13.725999999999999
34	14	19.206176211920532	13.646366516556292
35	14	20.207776920117254	13.603293817494226
36	14	21.43407859603481	13.554621959715146
37	14	22.811272955460673	13.54902770846804
38	14	24.10523126400668	13.552337168313077
39	14	25.63654354379044	13.645119862311011
40	14	27.18218016309634	13.833193080475494
41	14	28.68217818794052	14.09526396960588
42	14	30.230715785874462	14.430847341063531
43	14	31.808589042017385	14.751172465062671
44	14	33.40591027555268	15.063403894074849
45	14	34.99874637919029	15.319229615136294
46	14	36.669726245507675	15.51557626808726
47	14	38.373718027151455	15.63360663462009
48	14	40.08711383132709	15.671472625193175
49	14	41.777715289005464	15.53675934329235
50	14	43.4536473748692	15.297632296494568
51	14	45.076625723634095	14.973873537736228
52	14	46.68741893181929	14.590355156475141
53	14	48.294450737614625	14.194835775889565
54	14	49.886588294012114	13.819237692243263
55	14	51.44817337291166	13.510539551664813
56	14	53.00942060226553	13.29125329269743
57	14	54.54764865400013	13.118619693478998
58	14	56.08119209085131	12.958124586331586
59	14	57.58076644218968	12.764083526678073
60	23	59.9065	13.051
61	23	58.95149617218543	13.070301033112582
62	23	57.529094795636176	13.147137981824006
63	23	55.58386877396319	13.233046029168706
64	23	53.46947059187941	13.27675833754623
65	23	51.349218597077105	13.298776003073998
66	23	49.09166075976285	13.328904586509783
67	23	46.7123834469405	13.384596470941005
68	23	44.25484203705903	13.523649320487362
69	23	41.71611538809955	13.768169275256398
70	23	39.10771885070114	13.978154440296121
71	23	36.453829082213566	14.051323920081336
72	23	33.77632652879964	14.000233447677056
73	23	31.05164037968599	13.890440548768673
74	23	28.324247508854366	13.7502883176129
75	23	25.60452212567944	13.627960424771553
76	23	22.92001484758728	13.549939319739027
77	23	20.25180965184532	13.512617360142103
78	23	17.648292291199922	13.524556507578534
79	26	60.2685	13.753
80	26	59.204900437086096	13.786109271523179
81	26	57.36693757241089	13.670096556423653
82	26	55.16284870539089	13.537117499745516
83	26	52.81123137763187	13.42583409875471
84	26	50.39012096931634	13.355990807061481
85	26	47.907316334326815	13.25191925267327
86	26	45.398901645214686	13.045445064208995
87	26	42.896295992952744	12.688704268392671
88	26	40.37210986020165	12.308191283604266
89	26	37.904745802178255	12.03906902754008
90	26	35.47967089326388	12.043667201651935
91	26	32.94492802814857	12.334187949189532
92	26	30.39806585615087	12.642592970204232
93	26	27.807347357700802	12.903799905035068
94	26	25.185856548192582	13.11635256251511
95	26	22.5531628783508	13.269764440568261
96	26	19.915663928286907	13.344857348521383
97	26	17.274647393055705	13.36912143184864
98	29	59.9845	13.685500000000001
99	29	59.363067735099335	13.696347801324503
100	29	58.16785337861898	13.700656735396008
101	29	56.72362908173597	13.64613250776748
102	29	55.159611458177075	13.6146817235387
103	29	53.53567048675833	13.595179767480753
104	29	51.70670152125568	13.680917963957755
105	29	50.1162388052149	13.806182153514792
106	29	48.52199564441976	13.987504620003241
107	29	46.79871226671038	14.238341287515665
108	29	45.089603059711344	14.503969821349223
109	29	43.326653227551404	14.769861939681283
110	29	41.51906883058619	14.991964202046994
111	29	39.70948848869524	15.137193370867312
112	29	37.924535360749594	15.167120664272778
113	29	36.10833832993105	15.07653042176234
114	29	34.27550422187442	14.870742737561672
115	29	32.441440550430656	14.581209070759348
116	29	30.596001546106553	14.257582546618297
117	29	28.744755371276607	13.95109618324034
118	29	26.864822436641962	13.715686621810509
119	29	24.99567662825211	13.556174812531435
120	29	23.137686664446495	13.488808432758109
121	29	21.29090823904592	13.503595898174762
122	29	19.465826873872377	13.580998064684579
123	29	17.64772048067062	13.67872697557057
124	31	16.810499999999998	13.4025
125	31	17.97472499337748	13.394369165562914
126	31	19.810385596314156	13.364798846425224
127	31	21.92171582183876	13.340212558652556
128	31	24.138413177691632	13.294828291257314
129	31	26.446818672564344	13.27257976700897
130	31	28.829412975349292	13.253450639395822
131	31	31.302649288285153	13.207236633262513
132	31	33.83033344455082	13.075994616794912
133	31	36.396912137254986	12.839249641245587
134	31	38.98639568513659	12.563918376995007
135	31	41.60040052707522	12.398644730133611
136	31	44.224901700662265	12.409295691753002
137	39	17.027	13.6585
138	39	18.293370105960268	13.67210757615894
139	39	20.329948220059492	13.623438509930573
140	39	22.73136914460636	13.575683305275767
141	39	25.273020547267244	13.542875696412622
142	39	27.94698197609357	13.528439221883827
143	39	30.573173504490736	13.593574204273198
144	39	33.14751419131661	13.76139776413638
145	39	35.67104186344143	14.079026894384986
146	39	38.18537647082771	14.515968195101305
147	39	40.87330743764347	14.931050287265588
148	39	43.591959696848136	15.160895052006138
149	39	46.227493216659624	15.050546768877913
150	39	48.604627645237116	14.784728701888838
151	39	50.99993180915292	14.40315769586564
152	39	53.43606948264575	14.042301844516816
153	39	55.860428261367716	13.704743036202935
154	39	58.374952358758215	13.05369479816257
155	43	16.2205	12.9585
156	43	17.09473459602649	13.024517880794704
157	43	18.59565110934977	13.101365958712648
158	43	20.166385963049123	13.135972861624023
159	43	21.75305301871892	13.160523306459675
160	43	23.319862317642038	13.13922776023265
161	43	24.90327913232043	13.080147119754145
162	43	26.523908450183992	12.972249351464278
163	43	28.183574188360268	12.813977012305104
164	43	29.815307139706455	12.626504150956457
165	43	31.62211568239106	12.367438002020219
166	43	33.291023668434086	12.116943658813112
167	43	35.15869132390863	11.856334644613392
168	43	36.85285952176743	11.617159159445503
169	43	38.69763818553657	11.429453213453275
170	43	40.51520792964679	11.30897330869895
171	43	41.92984954387349	11.280735345914204
172	43	43.771655152822795	11.38390847954371
173	43	45.494645441536434	11.567992056135392
174	43	47.32864018946773	11.902366027681166
175	43	49.131662442691834	12.271579441700323
176	43	50.6803929161102	12.61032458006076
177	43	52.15752338417677	12.89364413698228
178	43	53.98752296074867	13.045860162494566
179	43	55.758484411532464	13.101456716611503
180	43	57.36361669320067	13.077874588433621
181	43	58.79368941018819	12.963001808800254
184	67	51.051484	13.417712
185	67	49.76423030463576	13.417281245033113
186	67	47.880804126945286	13.41666192779066
187	67	45.76121258752736	13.497166391693844
188	67	43.47671627011966	13.824275906835377
189	67	41.45163694160987	14.153297180514818
190	67	39.26030789039613	14.406525633106295
191	67	36.978224672513335	14.523246528881986
192	67	34.573444775027276	14.474472303795404
193	67	32.11145757594059	14.292011184033427
194	67	29.644934135088505	14.080837813029786
195	67	27.134342645809465	13.87162332384057
196	67	24.61875012810801	13.702496644457618
197	67	22.100203734511446	13.562996245568542
198	67	19.595606441706103	13.465515662259929
199	67	17.126760299243347	13.420341238008492
200	70	60.3055	13.8235
201	70	59.4016918013245	13.778543629139072
202	70	57.5154101832985	13.679295109207864
203	70	55.169871634244096	13.593956165968608
204	70	52.64394244970725	13.475247708350855
205	70	50.1159642200462	13.351198782326795
206	70	47.52000940329039	13.16240099831759
207	70	44.87664531127165	12.854665026002356
208	70	42.19665729954193	12.472770250694914
209	70	39.46451346908238	12.183760656506523
210	70	36.765837400907365	12.113635622943361
211	70	34.0622941424774	12.281102404970671
212	70	31.359259875207552	12.557208134452429
213	70	28.653129047806868	12.825306791829503
214	70	25.944985345133052	13.04914126959454
215	70	23.263568164815517	13.249799013247644
216	70	20.587051640355664	13.462796373775276
217	70	17.933686266922322	13.683575018493785
218	73	59.6845	13.6265
219	73	58.819209589403975	13.596686940397351
220	73	57.92351337891258	13.614509800236146
221	73	56.73593617252469	13.581536493357774
222	73	55.394430098705044	13.549881868955586
223	73	53.952058654912626	13.56973106489031
224	73	52.44947580190119	13.63372096309525
225	73	50.91614170678111	13.828283130422255
226	73	49.329085271833016	14.094018431227607
227	73	47.69880331622583	14.41561105779781
228	73	46.02145312462007	14.749203610214257
229	73	44.31917579099372	15.060246661403191
230	73	42.64503674573383	15.3363588981352
231	73	40.92369368795629	15.536743639833377
232	73	39.161440963871165	15.642468048215672
233	73	37.381186085381245	15.62188902585638
234	73	35.59180684073305	15.472496968139456
235	73	33.80860162846674	15.186136574486774
236	73	32.03377038524881	14.796396450064794
237	73	30.249633143688563	14.369700944874884
238	73	28.45879340218718	13.996629458703879
239	73	26.66340641553992	13.720836168485688
240	73	24.882750282109217	13.552751302183944
241	73	23.11396920797909	13.47587206015313
242	73	21.369179548880247	13.4788288643335
243	73	19.638014111184116	13.557030060590272
244	73	17.913235375216594	13.68770691204107
245	73	16.1355922410375	13.852125242446137
259	75	16.187008	12.603728
260	75	16.89399462251656	13.255939178807948
261	75	18.50831824592663	13.600738849531288
262	75	20.452104726760105	13.741324154656875
263	75	22.494351429468598	13.751059798811644
264	75	24.47819947227333	13.784023548343148
265	75	26.66430176688416	13.960566481628012
266	75	28.97111881581875	14.237935423946256
267	75	31.401426799539713	14.428369052890933
268	75	33.955935497226506	14.415436328882484
269	75	36.61064745824435	14.235706692224943
270	75	39.26110779766883	14.042436224831395
271	75	41.97376288527327	13.86949589629937
272	75	44.78338289353582	13.709482183810024
273	75	47.599188997124806	13.562056137665449
274	75	50.374016771857974	13.46466633577988
275	75	53.15701945308156	13.41033317932096
276	75	55.79143230512208	13.392584018568945
288	77	16.404222	11.571536
289	77	17.252018675496693	12.06373909933775
290	77	18.83703726606874	12.67467059395902
291	77	20.79016077533483	13.107333712074254
292	77	22.95036413044626	13.407685230383498
293	77	25.312551036307738	13.759431922166764
294	77	27.69792378050943	14.219192107619659
295	77	30.127569090218312	14.697155552261123
296	77	32.58913015385996	14.95162774014538
297	77	35.086864272120515	14.930937427628335
298	77	37.56679452279821	14.749215235876157
299	77	40.07139577590926	14.486535561438115
300	77	42.605812307096315	14.198505914313355
301	77	45.145628302412845	13.915444383832945
302	77	47.672685541055436	13.681407448138334
303	77	50.19180708457524	13.493305462380219
304	77	52.684243667787385	13.345650378860014
305	77	55.14883926089345	13.208602087247831
306	77	57.545099556815096	12.986658759789739
316	79	17.344932	13.579946
317	79	18.319139205298015	13.550471390728477
318	79	19.712536624797817	13.553166181786041
319	79	21.07323471836023	13.649523109142324
320	79	22.406955899569247	13.857098095117346
321	79	23.95976662763691	14.23265474037568
322	79	25.456308924011793	14.63048019740211
323	79	26.931822195658462	14.98132302375163
324	79	28.468849263181855	15.247145147233875
325	79	30.09860668032617	15.41653269236354
326	79	31.72326050927864	15.424444188997999
327	79	33.395419377222474	15.230580449827913
328	79	34.913233318463114	14.940058286554489
329	79	36.471007241969545	14.553997993703206
330	79	38.08295337769796	14.174821199909431
331	79	39.71477866901276	13.830597549010026
332	79	41.35459705099405	13.542573455150253
333	79	43.02825710204107	13.333305521883387
334	79	44.5535431617177	13.218771975297814
335	79	46.18716683151779	13.122235232761788
336	79	47.78042466496879	13.056011517967654
337	79	49.382100943917216	13.008884564787929
338	79	51.02519580469593	12.956189694258848
339	79	52.725665541041046	12.894282038717256
340	79	54.30838319325569	12.816954247857964
341	79	55.77139231496797	12.714545219591942
342	79	57.138112438112145	12.604650180973657
343	81	59.4795	13.1025
344	81	59.47858121771523	13.101581217715232
345	81	59.477260240002245	13.100260240002246
346	81	59.47583962497698	13.098839624976979
347	81	59.4744035517087	13.0974035517087
348	81	58.72110936826072	13.107264074365508
349	81	57.47135954406875	13.143529634716817
350	81	55.851147559551194	13.216031351689086
351	81	53.965485856383665	13.322389906399692
352	81	51.826439324990616	13.437290066948306
353	81	49.489730901503954	13.532832783319105
354	81	46.96841930797219	13.614847870603747
355	81	44.19941309834126	13.760169965191988
356	81	41.448770855869306	13.974385588937771
357	81	38.6646868894984	14.256752381492058
358	81	35.801886277440055	14.527093396967308
359	81	32.907017736853895	14.617795359257448
360	81	30.009478222079764	14.471846734699788
361	81	27.151397382915757	14.20667623345395
362	81	24.33625360873241	13.952586994166818
363	81	21.57112182729546	13.754829464490419
364	81	18.87034762330018	13.643758006186099
365	83	59.893	13.302499999999998
366	83	59.891369126052304	13.300869126052305
367	83	59.88902433972663	13.298524339726633
368	83	59.886502693333554	13.296002693333554
369	83	59.88395360796367	13.293453607963665
370	83	59.823454693510755	13.280547171493426
371	83	58.95028267319702	13.18002877873743
372	83	57.47643108958434	13.13688865680878
373	83	55.61205610375386	13.126679074018957
374	83	53.44694017476116	13.09774290121641
375	83	51.02154418515855	13.055087704843956
376	83	48.43884547475526	12.784037305501863
377	83	45.88403087554076	12.430177578110046
378	83	43.28492941258884	12.17212924936033
379	83	40.661358950512195	12.12101760329139
380	83	38.006900918522334	12.397477580174824
381	83	35.4843821138497	12.675597764277782
382	83	32.93861788104446	12.916625840900842
383	83	30.370326254729278	13.108997607147153
384	83	27.794115964142144	13.259216052575077
385	83	25.196377760812506	13.380309755161612
386	83	22.593998565494946	13.512939358887207
387	83	20.017018741253768	13.703115229722043
388	83	17.441607435988583	13.892421410597422
394	85	60.734829999999995	12.93686
395	85	59.941051602649004	12.927980026490067
396	85	58.70699479449765	13.021316125252186
397	85	57.280763233064434	13.11637924807027
398	85	55.76894104797749	13.184257213613238
399	85	54.202295770273565	13.204039037516676
400	85	52.60579945939815	13.050484174354901
401	85	50.95948873829916	12.785095336536857
402	85	49.31577184384292	12.449614453472606
403	85	47.68154632076482	12.115718062275349
404	85	45.93190979570094	11.8137850742717
405	85	44.29104554043606	11.610322641672447
406	85	42.60295140347392	11.53649482451307
407	85	40.74551032242901	11.623696938969498
408	85	38.8971419877506	11.850694884664245
409	85	37.18995807853274	12.153206426187584
410	85	35.450873975318245	12.513409697122018
411	85	33.671305207432574	12.844336788782321
412	85	31.854882333455638	13.133156244821262
413	85	30.000584329347625	13.362653538376689
414	85	28.11320680063533	13.528097309803858
415	85	26.193824893830843	13.63439985237884
416	85	24.25678715390415	13.703223994898122
417	85	22.353149245859413	13.779547470289463
418	85	20.440372778836853	13.836767167210212
419	85	18.583469548148937	13.932557698711957
436	87	18.760156	13.5839
437	87	19.88614948344371	13.495777165562913
438	87	21.609511790555032	13.399157660188873
439	87	23.551141949079373	13.359080752607856
440	87	25.572290716841593	13.360654341545981
441	87	27.77502699236459	13.37422527397286
442	87	30.06148420415986	13.409216113241905
443	87	32.407765593760956	13.430957348950686
444	87	34.65403118951753	13.498587726101377
445	87	37.13731414579518	13.680809842269488
446	87	39.4778551942369	13.950536488348469
447	87	42.05902082670779	14.177683253747636
448	87	44.60571883274375	14.243649115560467
449	87	47.25245746755595	14.146503585844805
450	87	49.900113708292466	13.957668201180377
451	87	52.543278867770596	13.755829972288232
452	87	55.26178150755203	13.553778578878152
456	90	17.491348000000002	12.887622
457	90	18.847249589403972	13.034973642384106
