time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
55,0,1,35.245,14.301,34.588,13.444,P2_02_04_11.csv,34.91214392442976,13.842210575605954
56,0,1,35.245,14.265,34.588,13.408,P2_02_04_11.csv,34.91113723928422,13.825503358039784
57,0,1,35.227,14.229,34.57,13.372,P2_02_04_11.csv,34.90429145145596,13.802556897078302
58,0,1,35.209,14.174,34.552,13.317,P2_02_04_11.csv,34.89287309730116,13.7676293044894
59,0,1,35.228,14.138,34.57,13.281,P2_02_04_11.csv,34.891502122539535,13.73054804052144
60,0,1,35.21,14.102,34.552,13.245,P2_02_04_11.csv,34.88459599992137,13.6921930463838
61,0,1,35.228,14.048,34.57,13.191,P2_02_04_11.csv,34.88658670213894,13.646584692380467
62,0,1,35.21,14.012,34.552,13.155,P2_02_04_11.csv,34.88219340825826,13.602366785690629
63,0,1,35.228,13.957,34.571,13.1,P2_02_04_11.csv,34.88614573538276,13.552674603816302
64,0,1,35.21,13.921,34.553,13.064,P2_02_04_11.csv,34.883065606953025,13.506109742418316
65,0,1,35.229,13.885,34.571,13.028,P2_02_04_11.csv,34.887817380290585,13.462358635043831
66,0,1,35.211,13.849,34.553,12.992,P2_02_04_11.csv,34.88514885987481,13.420999755356057
67,0,1,35.229,13.813,34.571,12.956,P2_02_04_11.csv,34.889850346090526,13.381576912944636
68,0,1,35.211,13.759,34.553,12.901,P2_02_04_11.csv,34.88698854891476,13.336827583875522
69,0,1,35.229,13.704,34.571,12.847,P2_02_04_11.csv,34.891421843905086,13.287940828728374
70,0,1,35.211,13.65,34.554,12.793,P2_02_04_11.csv,34.888450213320624,13.236180401127722
71,0,1,35.229,13.614,34.572,12.757,P2_02_04_11.csv,34.892737759686135,13.189064192114229
72,0,1,35.249,13.298,34.609,12.567,P2_02_04_11.csv,34.90656885648726,13.065758258493293
73,0,1,35.249,13.261,34.609,12.576,P2_02_04_11.csv,34.917082889705,12.972163855338891
74,0,1,35.248,13.334,34.609,12.494,P2_02_04_11.csv,34.92448307689563,12.907153461873493
75,0,1,35.249,13.298,34.609,12.458,P2_02_04_11.csv,34.92965842531746,12.853382796125581
76,0,1,35.249,13.243,34.609,12.404,P2_02_04_11.csv,34.93287337838669,12.801299200982786
77,0,1,35.249,13.207,34.609,12.368,P2_02_04_11.csv,34.93459526208332,12.756909376930151
78,0,1,35.249,13.153,34.609,12.313,P2_02_04_11.csv,34.93523773790979,12.711222655301171
79,0,1,35.249,13.117,34.61,12.277,P2_02_04_11.csv,34.935332063813384,12.670837619536897
80,0,1,35.249,13.062,34.61,12.223,P2_02_04_11.csv,34.93492822494815,12.627327328531399
81,0,1,35.25,13.008,34.61,12.169,P2_02_04_11.csv,34.93442631809723,12.581155174085094
82,0,1,35.25,12.972,34.61,12.132,P2_02_04_11.csv,34.933757763199495,12.539132595362231
83,0,1,35.232,12.918,34.592,12.078,P2_02_04_11.csv,34.92640076810442,12.493716488520693
84,0,1,35.232,12.864,34.592,12.024,P2_02_04_11.csv,34.92061197956521,12.445475965452218
85,0,1,35.232,12.809,34.592,11.97,P2_02_04_11.csv,34.91627317098037,12.394810385856664
86,0,1,35.214,12.755,34.575,11.915,P2_02_04_11.csv,34.906742485698224,12.34230916998463
87,0,1,35.214,12.701,34.575,11.861,P2_02_04_11.csv,34.899752903613056,12.288674621009784
88,0,1,35.196,12.665,34.557,11.825,P2_02_04_11.csv,34.888286560626995,12.240931899502877
89,0,1,35.197,12.611,34.557,11.771,P2_02_04_11.csv,34.88029554007912,12.191205437161559
90,0,1,35.197,12.574,34.557,11.734,P2_02_04_11.csv,34.87498885127248,12.14615472392898
91,0,1,35.179,12.52,34.539,11.68,P2_02_04_11.csv,34.865162108998796,12.098427879759955
92,0,1,35.179,12.484,34.539,11.644,P2_02_04_11.csv,34.85846873994008,12.05514947545726
93,0,1,35.161,12.448,34.521,11.608,P2_02_04_11.csv,34.84764898248281,12.015257739685538
94,0,1,35.134,12.303,34.44,11.572,P2_02_04_11.csv,34.82038096507231,11.957719870300302
95,0,1,35.107,12.357,34.467,11.526,P2_02_04_11.csv,34.800513998803396,11.921263594704262
96,0,1,35.107,12.312,34.467,11.481,P2_02_04_11.csv,34.786897952413995,11.883265253752795
97,0,1,35.107,12.267,34.467,11.436,P2_02_04_11.csv,34.778310063852786,11.843737067212937
98,0,1,35.107,12.222,34.468,11.391,P2_02_04_11.csv,34.77376321626699,11.802808303858312
99,0,1,35.108,12.177,34.468,11.345,P2_02_04_11.csv,34.772168531804546,11.760487512877866
100,0,1,35.108,12.131,34.468,11.3,P2_02_04_11.csv,34.77241967893751,11.717035310916236
101,0,1,35.108,12.086,34.468,11.255,P2_02_04_11.csv,34.77381616990641,11.672890468523871
102,0,1,35.108,12.041,34.468,11.21,P2_02_04_11.csv,34.77582477360076,11.628240405967215
103,0,1,35.108,11.996,34.468,11.164,P2_02_04_11.csv,34.778060218338254,11.583059243481433
104,0,1,35.171,12.113,34.523,11.019,P2_02_04_11.csv,34.8020137441505,11.549131075110608
105,0,1,35.19,11.968,34.523,10.983,P2_02_04_11.csv,34.82421284747771,11.495685972767996
106,0,1,35.172,11.896,34.532,11.065,P2_02_04_11.csv,34.839133741333264,11.462184896748477
107,0,1,35.172,11.851,34.532,11.019,P2_02_04_11.csv,34.84957579803559,11.42571521312599
108,0,1,35.172,11.787,34.532,10.956,P2_02_04_11.csv,34.856360627183456,11.380017547556324
109,0,1,35.172,11.742,34.533,10.911,P2_02_04_11.csv,34.86048185126414,11.333900337826629
110,0,1,35.019,11.598,34.506,10.694,P2_02_04_11.csv,34.82926767053504,11.237650040164091
111,0,1,35.083,11.571,34.452,10.739,P2_02_04_11.csv,34.806100119595776,11.172922007081343
112,0,1,35.029,11.48,34.461,10.739,P2_02_04_11.csv,34.78011170329509,11.113859088563212
113,0,1,35.056,11.516,34.434,10.694,P2_02_04_11.csv,34.76091505050958,11.074566417498472
114,0,1,35.056,11.462,34.434,10.639,P2_02_04_11.csv,34.74753140604404,11.032085120740838
115,0,1,35.056,11.426,34.434,10.603,P2_02_04_11.csv,34.738880994281374,10.993456548108323
116,0,1,35.038,11.372,34.416,10.549,P2_02_04_11.csv,34.727269704672594,10.950832753744564
117,0,1,35.02,11.335,34.398,10.513,P2_02_04_11.csv,34.713281555686635,10.911234831888084
118,0,1,35.02,11.281,34.398,10.458,P2_02_04_11.csv,34.7041104533504,10.867156977797883
119,0,1,35.02,11.227,34.398,10.404,P2_02_04_11.csv,34.69870911086125,10.81960712997534
120,0,1,35.093,11.218,34.39,10.051,P2_02_04_11.csv,34.70809913886767,10.722529707757781
121,0,1,35.048,11.055,34.426,10.232,P2_02_04_11.csv,34.715021977844025,10.657567154027195
122,0,1,35.048,11.0,34.426,10.178,P2_02_04_11.csv,34.72113873030481,10.595344291131129
123,0,1,35.075,11.154,34.354,10.015,P2_02_04_11.csv,34.717965139688,10.553898969083162
124,0,1,35.093,11.073,34.336,10.141,P2_02_04_11.csv,34.715686284869854,10.538460823138456
125,0,1,35.021,11.01,34.399,10.187,P2_02_04_11.csv,34.71249426771413,10.531026474060624
126,0,1,34.995,10.738,34.3,10.105,P2_02_04_11.csv,34.6872380277966,10.466436720460004
127,0,1,35.022,10.702,34.273,9.997,P2_02_04_11.csv,34.66813602222048,10.395544452155308
128,0,1,35.004,10.584,34.318,9.942,P2_02_04_11.csv,34.65941428873661,10.315239353613961
129,0,1,35.014,10.566,34.355,9.824,P2_02_04_11.csv,34.66269825967822,10.235320285167823
130,0,1,34.986,10.593,34.364,9.806,P2_02_04_11.csv,34.66300121859419,10.183321711342192
131,0,1,35.059,10.521,34.337,9.698,P2_02_04_11.csv,34.67262563155771,10.118597982737505
132,0,1,35.041,10.457,34.338,9.526,P2_02_04_11.csv,34.677583948814494,10.033509140837237
133,0,1,35.068,10.412,34.338,9.489,P2_02_04_11.csv,34.686638260234936,9.961337403552372
134,0,1,35.077,10.439,34.365,9.408,P2_02_04_11.csv,34.700290750539054,9.90495877781282
135,0,1,35.059,10.412,34.375,9.344,P2_02_04_11.csv,34.70908046834485,9.854064149710599
136,0,1,35.05,10.412,34.393,9.308,P2_02_04_11.csv,34.716917874398256,9.817199148987843
137,0,1,35.05,10.457,34.402,9.245,P2_02_04_11.csv,34.72388889854518,9.794008344383288
138,0,1,35.041,10.457,34.411,9.226,P2_02_04_11.csv,34.72845753976885,9.78039343809297
139,0,1,35.033,10.231,34.41,9.444,P2_02_04_11.csv,34.72948743287298,9.775178653211197
140,0,1,35.033,10.186,34.411,9.399,P2_02_04_11.csv,34.72968731816124,9.760247363348567
141,0,1,35.042,10.14,34.42,9.353,P2_02_04_11.csv,34.73252088727992,9.736424107428675
142,0,1,35.042,10.095,34.42,9.308,P2_02_04_11.csv,34.73418891583367,9.705593858910932
143,0,1,35.078,10.14,34.321,9.172,P2_02_04_11.csv,34.72337497092096,9.669029795569013
144,0,1,35.106,10.014,34.294,9.163,P2_02_04_11.csv,34.714835330532594,9.620024790856071
145,0,1,35.043,9.86,34.33,9.236,P2_02_04_11.csv,34.70328812863803,9.571650654557049
146,0,1,35.034,9.869,34.348,9.181,P2_02_04_11.csv,34.69632340505974,9.530752445677761
147,0,1,34.998,9.914,34.375,9.145,P2_02_04_11.csv,34.68984441877855,9.506134871926118
148,0,1,35.007,9.878,34.384,9.109,P2_02_04_11.csv,34.688806590866115,9.47917723582861
149,0,1,35.044,9.652,34.394,8.873,P2_02_04_11.csv,34.69734735017327,9.378129996665233
150,0,1,35.044,9.642,34.394,8.81,P2_02_04_11.csv,34.704459665382004,9.291693029007561
151,0,1,35.044,9.67,34.404,8.728,P2_02_04_11.csv,34.711948504890685,9.221950000181792
152,0,1,35.044,9.642,34.422,8.61,P2_02_04_11.csv,34.72095204313674,9.149182672687202
153,0,1,35.053,9.642,34.44,8.583,P2_02_04_11.csv,34.732570638631415,9.096424411107519
154,0,1,35.053,9.498,34.44,8.728,P2_02_04_11.csv,34.74101237819342,9.064579030308554
155,0,1,35.063,9.452,34.449,8.683,P2_02_04_11.csv,34.75028030424386,9.0315466789929
156,0,1,35.072,9.407,34.458,8.637,P2_02_04_11.csv,34.75990390950225,8.996774356743952
157,0,1,35.063,9.353,34.449,8.583,P2_02_04_11.csv,34.7630661580098,8.956917363191002
158,0,1,35.072,9.307,34.459,8.538,P2_02_04_11.csv,34.768003605227285,8.915860444236769
159,0,1,35.072,9.262,34.459,8.492,P2_02_04_11.csv,34.770921758769084,8.873692969798986
160,0,1,35.072,9.398,34.44,8.583,P2_02_04_11.csv,34.76883072215705,8.889180719718158
161,0,1,35.099,9.307,34.441,8.547,P2_02_04_11.csv,34.771652761850845,8.883597118232338
162,0,1,35.108,9.271,34.477,8.438,P2_02_04_11.csv,34.78159847509139,8.856790945037865
163,0,1,35.127,9.18,34.486,8.438,P2_02_04_11.csv,34.793905131682685,8.822910586598999
164,0,1,35.164,9.035,34.468,8.42,P2_02_04_11.csv,34.80617774091074,8.770368250071408
165,0,1,35.164,8.99,34.504,8.393,P2_02_04_11.csv,34.82134239066075,8.720518738582902
166,0,1,35.164,8.972,34.495,8.402,P2_02_04_11.csv,34.830262667216864,8.685083278989788
167,0,1,35.173,8.954,34.486,8.384,P2_02_04_11.csv,34.83583356219828,8.65622832783905
168,0,1,35.173,8.936,34.486,8.338,P2_02_04_11.csv,34.8388473098015,8.62722861673332
169,0,1,35.2,8.963,34.514,8.248,P2_02_04_11.csv,34.85014611006938,8.598083471116617
170,0,1,35.2,8.936,34.541,8.148,P2_02_04_11.csv,34.862801040050826,8.55686144390824
171,0,1,35.227,8.936,34.542,8.103,P2_02_04_11.csv,34.876563601710515,8.521361151655523
172,0,1,35.227,8.918,34.56,8.057,P2_02_04_11.csv,34.88920086071482,8.487003490888906
173,0,1,35.218,8.945,34.569,8.021,P2_02_04_11.csv,34.897520524792576,8.463693390519401
174,0,1,35.246,8.881,34.578,8.003,P2_02_04_11.csv,34.909274087328676,8.435395278232393
175,0,1,35.246,8.836,34.578,7.994,P2_02_04_11.csv,34.91691086059205,8.408100541981097
176,0,1,35.264,8.8,34.596,7.949,P2_02_04_11.csv,34.92797821979382,8.376485404222963
177,0,1,35.246,8.809,34.56,7.939,P2_02_04_11.csv,34.925171306663195,8.35618424033715
178,0,1,35.21,8.727,34.596,8.021,P2_02_04_11.csv,34.9216376371538,8.344783392901062
179,0,1,35.219,8.691,34.605,7.985,P2_02_04_11.csv,34.92124410157932,8.326634588085714
180,0,1,35.219,8.655,34.606,7.949,P2_02_04_11.csv,34.920445507896794,8.30280733403771
181,0,1,35.228,8.628,34.615,7.921,P2_02_04_11.csv,34.922628209020296,8.277561841985316
182,0,1,35.237,8.601,34.624,7.894,P2_02_04_11.csv,34.92723471263394,8.251426207481712
183,0,1,35.229,8.564,34.615,7.858,P2_02_04_11.csv,34.92726847230244,8.221157415721533
184,0,1,35.247,8.528,34.633,7.822,P2_02_04_11.csv,34.93350753064671,8.187968546036567
185,0,1,35.247,8.501,34.633,7.794,P2_02_04_11.csv,34.93796219451466,8.155846665506443
186,0,1,35.247,8.474,34.633,7.767,P2_02_04_11.csv,34.94093639924216,8.124949965687316
188,0,1,35.238,8.465,34.624,7.758,P2_02_04_11.csv,34.939421477029285,8.101772705715337
189,0,1,35.238,8.428,34.624,7.722,P2_02_04_11.csv,34.93779595528312,8.074456418786925
190,0,1,35.238,8.392,34.625,7.686,P2_02_04_11.csv,34.93641410991995,8.043981756295512
191,0,1,35.238,8.356,34.625,7.649,P2_02_04_11.csv,34.9351512801521,8.010889807776095
192,0,1,35.238,8.311,34.625,7.604,P2_02_04_11.csv,34.93406392501919,7.972740909656129
193,0,1,35.239,8.256,34.625,7.55,P2_02_04_11.csv,34.93335808865007,7.927352614144719
194,0,1,35.23,8.211,34.616,7.504,P2_02_04_11.csv,34.92948640059685,7.87998819161987
195,0,1,35.239,8.175,34.625,7.468,P2_02_04_11.csv,34.929844948846934,7.835026870922055
196,0,1,35.23,8.138,34.616,7.432,P2_02_04_11.csv,34.9269243588071,7.792110342209284
197,0,1,35.321,7.984,34.644,7.205,P2_02_04_11.csv,34.94670557353508,7.6942168571447755
198,0,1,35.285,7.948,34.671,7.241,P2_02_04_11.csv,34.96037869250165,7.624492329747708
199,0,1,35.285,7.912,34.671,7.205,P2_02_04_11.csv,34.97041082541251,7.564818525072349
200,0,1,35.276,7.876,34.662,7.169,P2_02_04_11.csv,34.97402907165373,7.513370887581095
201,0,1,35.267,7.839,34.654,7.133,P2_02_04_11.csv,34.97277990050456,7.46815959501306
202,0,1,35.267,7.803,34.654,7.096,P2_02_04_11.csv,34.97101557903813,7.427577550451314
203,0,1,35.267,7.767,34.654,7.06,P2_02_04_11.csv,34.969066220720265,7.39042669665326
204,0,1,35.268,7.74,34.654,7.033,P2_02_04_11.csv,34.967339276002306,7.358851618608134
205,0,1,35.259,7.712,34.645,7.006,P2_02_04_11.csv,34.96242716675022,7.330975775082171
206,0,1,35.287,7.468,34.509,6.915,P2_02_04_11.csv,34.93858853206851,7.253849091338562
207,0,1,35.323,7.422,34.573,6.851,P2_02_04_11.csv,34.93874821752359,7.179926249727359
208,0,1,35.359,7.368,34.61,6.715,P2_02_04_11.csv,34.95304118139278,7.094782105184375
209,0,1,35.387,7.332,34.601,6.652,P2_02_04_11.csv,34.96806661356894,7.018545924902117
210,0,1,35.342,7.295,34.628,6.561,P2_02_04_11.csv,34.97629474208002,6.944711843357657
211,0,1,35.341,7.332,34.628,6.57,P2_02_04_11.csv,34.981996607746176,6.905251316237917
212,0,1,35.341,7.323,34.61,6.579,P2_02_04_11.csv,34.9824770047844,6.88397431762519
213,0,1,35.287,7.323,34.656,6.498,P2_02_04_11.csv,34.98075118119105,6.860935604472394
214,0,1,35.224,7.305,34.656,6.443,P2_02_04_11.csv,34.96731297206086,6.836872050979202
215,0,1,35.269,7.305,34.647,6.489,P2_02_04_11.csv,34.963295440496445,6.833110194916788
216,0,1,35.26,7.295,34.628,6.498,P2_02_04_11.csv,34.95517675913092,6.835627321040471
217,0,1,35.278,7.295,34.61,6.461,P2_02_04_11.csv,34.94916327205183,6.8352323749948365
218,0,1,35.278,7.268,34.611,6.425,P2_02_04_11.csv,34.94514096926773,6.826767534477105
219,0,1,35.242,7.187,34.637,6.507,P2_02_04_11.csv,34.94070727455067,6.8231757557654475
220,0,1,35.242,7.15,34.638,6.47,P2_02_04_11.csv,34.93799664112496,6.809159785267016
221,0,1,35.243,7.114,34.638,6.434,P2_02_04_11.csv,34.936628901606475,6.787105363992237
222,0,1,35.243,7.078,34.638,6.398,P2_02_04_11.csv,34.9360730079945,6.758868109050036
