time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
55,0,1,34.539,10.309,33.439,9.512,P2_02_03_08.csv,33.9937578126305,9.925010786744004
56,0,1,34.502,10.31,33.401,9.513,P2_02_03_08.csv,33.947554449271045,9.918643867363459
57,0,1,34.465,10.329,33.364,9.532,P2_02_03_08.csv,33.9050577345216,9.921061765564295
58,0,1,34.427,10.311,33.326,9.513,P2_02_03_08.csv,33.86496913443044,9.91651743880584
59,0,1,34.39,10.33,33.289,9.532,P2_02_03_08.csv,33.82693544667711,9.920294648262486
60,0,1,34.353,10.321,33.252,9.524,P2_02_03_08.csv,33.79028118517917,9.92039601535053
61,0,1,34.315,10.331,33.214,9.533,P2_02_03_08.csv,33.75410161736113,9.924129702157805
62,0,1,34.259,10.332,33.158,9.534,P2_02_03_08.csv,33.71144073407509,9.927480852621775
63,0,1,34.203,10.351,33.102,9.553,P2_02_03_08.csv,33.663628244584075,9.93704004459246
64,0,1,34.166,10.333,33.065,9.535,P2_02_03_08.csv,33.618917974235586,9.937627187383736
65,0,1,34.129,10.352,33.027,9.554,P2_02_03_08.csv,33.57659445569805,9.944714699077018
66,0,1,34.073,10.343,32.971,9.546,P2_02_03_08.csv,33.52934028384329,9.946713619607298
67,0,1,34.035,10.372,32.934,9.574,P2_02_03_08.csv,33.48509911730558,9.958307241072283
68,0,1,33.979,10.354,32.878,9.556,P2_02_03_08.csv,33.436475027081336,9.960157516934066
69,0,1,33.923,10.392,32.822,9.594,P2_02_03_08.csv,33.38449788226677,9.97492590862065
70,0,1,33.886,10.374,32.784,9.576,P2_02_03_08.csv,33.336904967484266,9.979049125076147
71,0,1,33.849,10.393,32.747,9.595,P2_02_03_08.csv,33.29306615546854,9.988335483391657
72,0,1,33.793,10.403,32.691,9.605,P2_02_03_08.csv,33.2451357000493,9.998335027207414
73,0,1,33.755,10.412,32.653,9.615,P2_02_03_08.csv,33.20061731954629,10.008600507909934
74,0,1,33.718,10.394,32.616,9.596,P2_02_03_08.csv,33.15913963457753,10.008649840666523
75,0,1,33.68,10.413,32.579,9.616,P2_02_03_08.csv,33.11975301483544,10.014785816210376
76,0,1,33.643,10.423,32.541,9.625,P2_02_03_08.csv,33.08183641508949,10.022139351847317
77,0,1,33.587,10.424,32.485,9.626,P2_02_03_08.csv,33.038060263817854,10.027298264277826
78,0,1,33.531,10.425,32.429,9.627,P2_02_03_08.csv,32.989613648342264,10.030741233550907
79,0,1,33.475,10.435,32.373,9.637,P2_02_03_08.csv,32.93761834870426,10.03622497424046
80,0,1,33.419,10.426,32.317,9.628,P2_02_03_08.csv,32.88306452162034,10.03635088294214
81,0,1,33.381,10.436,32.279,9.638,P2_02_03_08.csv,32.83341690824396,10.039374256956881
82,0,1,33.325,10.427,32.223,9.629,P2_02_03_08.csv,32.78115576571179,10.03777613064177
83,0,1,33.288,10.428,32.185,9.63,P2_02_03_08.csv,32.73376829086857,10.036359132949341
84,0,1,33.231,10.428,32.129,9.63,P2_02_03_08.csv,32.683238201581794,10.034879841112463
85,0,1,33.175,10.41,32.073,9.612,P2_02_03_08.csv,32.63043413909051,10.026842406435645
86,0,1,33.119,10.392,32.016,9.594,P2_02_03_08.csv,32.575756208970965,10.013873148123071
87,0,1,33.081,10.402,31.979,9.604,P2_02_03_08.csv,32.52675554699003,10.00771385916475
88,0,1,33.044,10.393,31.942,9.595,P2_02_03_08.csv,32.482437153370405,10.000132698125846
89,0,1,33.007,10.394,31.904,9.596,P2_02_03_08.csv,32.44147188163357,9.99522801842738
90,0,1,32.969,10.394,31.867,9.596,P2_02_03_08.csv,32.40289881575664,9.99211350962305
91,0,1,32.913,10.404,31.81,9.606,P2_02_03_08.csv,32.358916203471736,9.994063487220338
92,0,1,32.857,10.386,31.754,9.588,P2_02_03_08.csv,32.31070824131397,9.98952714499731
93,0,1,32.819,10.405,31.717,9.607,P2_02_03_08.csv,32.26603433585737,9.99346753449727
94,0,1,32.763,10.387,31.66,9.589,P2_02_03_08.csv,32.217156493832825,9.990314573425536
95,0,1,32.707,10.397,31.604,9.599,P2_02_03_08.csv,32.16520337167162,9.991827023742731
96,0,1,32.67,10.417,31.567,9.618,P2_02_03_08.csv,32.117992276782125,10.000461712382899
97,0,1,32.614,10.427,31.511,9.628,P2_02_03_08.csv,32.06758117436113,10.010953554042107
98,0,1,32.576,10.408,31.473,9.61,P2_02_03_08.csv,32.021342149241065,10.012071203231981
99,0,1,32.52,10.428,31.417,9.629,P2_02_03_08.csv,31.971755294346053,10.019722149894006
100,0,1,32.482,10.419,31.379,9.62,P2_02_03_08.csv,31.926181703747755,10.021931567120607
101,0,1,32.426,10.42,31.323,9.621,P2_02_03_08.csv,31.877107150279645,10.023501888019357
102,0,1,32.389,10.42,31.286,9.622,P2_02_03_08.csv,31.832277167335516,10.024439080508278
103,0,1,32.351,10.43,31.248,9.631,P2_02_03_08.csv,31.790380286942533,10.028260009710875
104,0,1,32.314,10.412,31.21,9.613,P2_02_03_08.csv,31.750829085165496,10.024213840500979
105,0,1,32.258,10.431,31.154,9.632,P2_02_03_08.csv,31.7061010248725,10.02773375173629
106,0,1,32.22,10.422,31.117,9.624,P2_02_03_08.csv,31.664029824347455,10.027121334712366
107,0,1,32.164,10.423,31.06,9.624,P2_02_03_08.csv,31.616994102226208,10.026591588903369
108,0,1,32.126,10.423,31.023,9.625,P2_02_03_08.csv,31.573077262452713,10.026195853278898
109,0,1,32.07,10.433,30.967,9.635,P2_02_03_08.csv,31.524818571148995,10.029458410765004
110,0,1,32.033,10.415,30.929,9.616,P2_02_03_08.csv,31.480024418149867,10.02505826481499
111,0,1,31.995,10.416,30.892,9.617,P2_02_03_08.csv,31.437997034451968,10.021889624292234
112,0,1,31.939,10.407,30.835,9.608,P2_02_03_08.csv,31.391071035076155,10.016142807527391
113,0,1,31.901,10.398,30.798,9.599,P2_02_03_08.csv,31.347296807309547,10.008509870256438
114,0,1,31.863,10.371,30.76,9.572,P2_02_03_08.csv,31.305826513379923,9.99294122573653
115,0,1,31.807,10.362,30.703,9.563,P2_02_03_08.csv,31.259265761207985,9.978090732387452
116,0,1,31.769,10.334,30.666,9.536,P2_02_03_08.csv,31.215706646995233,9.957337773801244
117,0,1,31.732,10.326,30.628,9.527,P2_02_03_08.csv,31.174523936430415,9.939327459590727
118,0,1,31.694,10.317,30.591,9.518,P2_02_03_08.csv,31.1351340927688,9.923619915649795
119,0,1,31.657,10.317,30.553,9.518,P2_02_03_08.csv,31.0970262685704,9.91321726834891
120,0,1,31.619,10.318,30.515,9.519,P2_02_03_08.csv,31.059591752517754,9.907358906287646
121,0,1,31.582,10.299,30.478,9.5,P2_02_03_08.csv,31.022906060748504,9.897540620917317
122,0,1,31.544,10.3,30.44,9.501,P2_02_03_08.csv,30.98629945228807,9.891866571990697
123,0,1,31.507,10.31,30.403,9.511,P2_02_03_08.csv,30.950000744217345,9.89265730119374
124,0,1,31.45,10.301,30.346,9.502,P2_02_03_08.csv,30.90646697078108,9.891256018916899
125,0,1,31.413,10.283,30.309,9.484,P2_02_03_08.csv,30.86466936472562,9.884548955104906
126,0,1,31.375,10.283,30.271,9.484,P2_02_03_08.csv,30.82398033365318,9.880231348766063
127,0,1,31.337,10.265,30.233,9.466,P2_02_03_08.csv,30.784204818809602,9.871128942994668
128,0,1,31.281,10.266,30.177,9.467,P2_02_03_08.csv,30.738510740068012,9.865303906629523
129,0,1,31.244,10.257,30.139,9.458,P2_02_03_08.csv,30.695082027556534,9.858403340605232
130,0,1,31.206,10.267,30.102,9.468,P2_02_03_08.csv,30.65355453915519,9.857662006391472
131,0,1,31.169,10.267,30.064,9.468,P2_02_03_08.csv,30.613547324709543,9.857975672201661
132,0,1,31.131,10.268,30.027,9.468,P2_02_03_08.csv,30.574699091413148,9.859114794740607
133,0,1,31.094,10.277,29.989,9.478,P2_02_03_08.csv,30.536689663023967,9.864042434387104
134,0,1,31.037,10.278,29.933,9.479,P2_02_03_08.csv,30.492245220947606,9.86859128141917
135,0,1,31.0,10.297,29.896,9.498,P2_02_03_08.csv,30.44996977173452,9.879255370142364
136,0,1,30.962,10.288,29.858,9.489,P2_02_03_08.csv,30.409114113314715,9.88411921063923
137,0,1,30.925,10.289,29.82,9.49,P2_02_03_08.csv,30.369566028494262,9.88790658284654
138,0,1,30.868,10.289,29.764,9.49,P2_02_03_08.csv,30.32400112442424,9.890424208212298
139,0,1,30.831,10.281,29.726,9.481,P2_02_03_08.csv,30.280773908545857,9.888806352973862
140,0,1,30.774,10.272,29.67,9.473,P2_02_03_08.csv,30.232472525170436,9.884030889579487
141,0,1,30.737,10.282,29.632,9.482,P2_02_03_08.csv,30.187321366616427,9.883602404064614
142,0,1,30.699,10.273,29.595,9.474,P2_02_03_08.csv,30.14476691291852,9.880070742410007
143,0,1,30.643,10.264,29.538,9.465,P2_02_03_08.csv,30.097248358006517,9.874000899389173
