time_step,object_id,user_type,tl_x,tl_y,br_x,br_y,__file__,x_m,y_m
62,0,1,37.703,12.912,38.469,13.822,P2_01_02_14.csv,38.10523901131109,13.36965306800553
63,0,1,37.74,12.912,38.506,13.822,P2_01_02_14.csv,38.13879315429087,13.370589081942056
64,0,1,37.765,12.912,38.531,13.822,P2_01_02_14.csv,38.16793865298337,13.37089482896297
65,0,1,37.79,12.912,38.556,13.822,P2_01_02_14.csv,38.193971532445154,13.370778386631663
66,0,1,37.827,12.912,38.594,13.822,P2_01_02_14.csv,38.22256588362072,13.370404662328387
67,0,1,37.865,12.912,38.631,13.822,P2_01_02_14.csv,38.25348492758392,13.369898206747353
68,0,1,37.889,12.912,38.656,13.822,P2_01_02_14.csv,38.28160155174584,13.369348196646717
69,0,1,37.927,12.912,38.693,13.822,P2_01_02_14.csv,38.31245453183202,13.368814391171966
70,0,1,37.964,12.912,38.731,13.823,P2_01_02_14.csv,38.345563151575945,13.368517572692777
71,0,1,37.977,12.912,38.743,13.823,P2_01_02_14.csv,38.371227548569216,13.368249335622131
72,0,1,38.002,12.913,38.756,13.81,P2_01_02_14.csv,38.39354278606407,13.365808337497866
74,0,1,38.014,12.925,38.768,13.823,P2_01_02_14.csv,38.41089943619349,13.368533560480357
75,0,1,38.039,12.925,38.793,13.823,P2_01_02_14.csv,38.429492969898114,13.370688368446274
76,0,1,38.064,12.913,38.818,13.81,P2_01_02_14.csv,38.44937639255853,13.367703276170586
77,0,1,38.101,12.913,38.855,13.81,P2_01_02_14.csv,38.474904914211535,13.36532586361478
78,0,1,38.126,12.913,38.88,13.81,P2_01_02_14.csv,38.500484497999835,13.363520985512501
79,0,1,38.151,12.913,38.905,13.81,P2_01_02_14.csv,38.526050267038165,13.362220963305784
80,0,1,38.188,12.913,38.942,13.811,P2_01_02_14.csv,38.55598659677941,13.361527300284896
81,0,1,38.213,12.913,38.967,13.811,P2_01_02_14.csv,38.584819131654676,13.361126939783968
82,0,1,38.251,12.913,39.005,13.811,P2_01_02_14.csv,38.617443232425835,13.360943555930016
83,0,1,38.276,12.913,39.03,13.811,P2_01_02_14.csv,38.64809522240887,13.360911723218685
84,0,1,38.301,12.913,39.055,13.811,P2_01_02_14.csv,38.67705311152149,13.360978096097746
85,0,1,38.338,12.913,39.092,13.811,P2_01_02_14.csv,38.70905125191426,13.361101193838689
86,0,1,38.375,12.914,39.129,13.811,P2_01_02_14.csv,38.74336616864253,13.361434665145048
87,0,1,38.413,12.914,39.167,13.811,P2_01_02_14.csv,38.779725728294686,13.361729836602686
88,0,1,38.438,12.914,39.192,13.811,P2_01_02_14.csv,38.812713518906385,13.361977375918062
89,0,1,38.475,12.914,39.229,13.811,P2_01_02_14.csv,38.84736222903945,13.362175176110188
90,0,1,38.512,12.901,39.266,13.799,P2_01_02_14.csv,38.883246322769054,13.357717280437598
91,0,1,38.55,12.914,39.304,13.811,P2_01_02_14.csv,38.92036768200477,13.358898349922534
92,0,1,38.698,13.039,39.181,13.587,P2_01_02_14.csv,38.94893845617793,13.341680174001867
93,0,1,38.649,13.014,39.23,13.65,P2_01_02_14.csv,38.96622564273632,13.33553635248845
94,0,1,38.761,13.039,39.242,13.637,P2_01_02_14.csv,38.99787433785906,13.33358880968167
95,0,1,38.649,12.927,39.341,13.749,P2_01_02_14.csv,39.01574621005427,13.332709791444126
96,0,1,38.761,12.964,39.329,13.7,P2_01_02_14.csv,39.04381488710275,13.330363072300868
97,0,1,38.799,12.952,39.329,13.712,P2_01_02_14.csv,39.06863423071006,13.329011618832673
98,0,1,38.86,13.052,39.317,13.7,P2_01_02_14.csv,39.09296762273783,13.34461806701508
99,0,1,38.885,13.027,39.392,13.662,P2_01_02_14.csv,39.12640896511345,13.345350473040108
100,0,1,38.885,12.99,39.466,13.687,P2_01_02_14.csv,39.16212303198874,13.343533158723096
101,0,1,38.923,12.99,39.491,13.687,P2_01_02_14.csv,39.197346300554834,13.341985952381199
102,0,1,38.948,13.002,39.678,13.7,P2_01_02_14.csv,39.259431016691714,13.345340781187753
103,0,1,38.998,12.977,39.616,13.713,P2_01_02_14.csv,39.3006701685939,13.345696267537543
104,0,1,39.022,12.977,39.64,13.713,P2_01_02_14.csv,39.33605641991028,13.34586536883147
105,0,1,39.06,12.978,39.678,13.713,P2_01_02_14.csv,39.37200456540918,13.346087709842507
106,0,1,39.085,12.978,39.703,13.713,P2_01_02_14.csv,39.40367755127227,13.346181380137542
107,0,1,39.11,12.978,39.728,13.713,P2_01_02_14.csv,39.432121366464635,13.346186376248415
108,0,1,38.96,13.089,39.952,13.614,P2_01_02_14.csv,39.462677168197594,13.348347111896578
109,0,1,38.922,13.064,39.877,13.664,P2_01_02_14.csv,39.46060615338716,13.354570306067203
110,0,1,39.097,13.015,39.727,13.725,P2_01_02_14.csv,39.459052067119195,13.361460450317557
111,0,1,39.022,13.089,39.405,13.463,P2_01_02_14.csv,39.38114818895969,13.331832293781474
112,0,1,39.022,13.102,39.38,13.538,P2_01_02_14.csv,39.314037294767274,13.324913660043478
113,0,1,39.084,13.127,39.455,13.488,P2_01_02_14.csv,39.28794287110547,13.315546836993601
114,0,1,38.973,12.977,39.566,13.65,P2_01_02_14.csv,39.270003720685935,13.31120618744147
115,0,1,39.309,13.016,39.877,13.701,P2_01_02_14.csv,39.3779084802331,13.325239014315416
116,0,1,39.209,12.978,39.902,13.763,P2_01_02_14.csv,39.44929464957066,13.341165125801462
117,0,1,39.271,13.028,39.939,13.738,P2_01_02_14.csv,39.52105026126889,13.35815888678819
118,0,1,39.321,13.003,40.039,13.714,P2_01_02_14.csv,39.60067228211771,13.361828223944869
119,0,1,39.433,12.954,40.001,13.738,P2_01_02_14.csv,39.670883152114094,13.359271703319694
120,0,1,39.533,12.942,40.038,13.776,P2_01_02_14.csv,39.74412747358316,13.361396152015322
121,0,1,39.483,12.979,40.038,13.776,P2_01_02_14.csv,39.78443772529679,13.369367655085659
122,0,1,39.458,13.041,40.138,13.764,P2_01_02_14.csv,39.821809897733495,13.384263489009568
123,0,1,39.483,13.016,40.225,13.751,P2_01_02_14.csv,39.86415807335227,13.38811138029924
124,0,1,39.557,13.029,40.225,13.702,P2_01_02_14.csv,39.90372733766959,13.383537855246159
125,0,1,39.595,13.029,40.288,13.714,P2_01_02_14.csv,39.9463153605345,13.381429441565643
126,0,1,39.669,13.041,40.225,13.714,P2_01_02_14.csv,39.974846932204244,13.381521542548677
127,0,1,39.47,13.078,40.437,13.665,P2_01_02_14.csv,39.99304318045553,13.379048036751565
128,0,1,39.495,13.128,40.487,13.653,P2_01_02_14.csv,40.01521454392074,13.383891786950244
129,0,1,39.482,13.128,40.512,13.603,P2_01_02_14.csv,40.02949977470942,13.37825761287902
130,0,1,39.532,13.066,40.537,13.64,P2_01_02_14.csv,40.0497616948061,13.369078443576978
131,0,1,39.445,13.053,40.537,13.64,P2_01_02_14.csv,40.04530284740451,13.359609530471603
132,0,1,39.483,13.041,40.537,13.628,P2_01_02_14.csv,40.045178308952,13.348165819281753
133,0,1,39.707,13.041,40.5,13.64,P2_01_02_14.csv,40.07677675271071,13.34206754411508
134,0,1,39.732,13.042,40.524,13.653,P2_01_02_14.csv,40.10788139993834,13.34067387379626
135,0,1,39.682,13.029,40.5,13.64,P2_01_02_14.csv,40.115475325972305,13.335543480440126
136,0,1,39.819,13.042,40.375,13.64,P2_01_02_14.csv,40.12053690013286,13.334618143646207
137,0,1,39.831,13.054,40.388,13.652,P2_01_02_14.csv,40.1264707895732,13.338965273312878
138,0,1,39.843,13.067,40.4,13.665,P2_01_02_14.csv,40.13329275243664,13.347617730379602
139,0,1,39.856,13.079,40.412,13.677,P2_01_02_14.csv,40.141271133619945,13.358964948496839
140,0,1,39.868,13.092,40.425,13.69,P2_01_02_14.csv,40.15033884390817,13.372433959451632
141,0,1,39.881,13.104,40.437,13.702,P2_01_02_14.csv,40.16036697604122,13.386836535644557
142,0,1,39.893,13.117,40.449,13.715,P2_01_02_14.csv,40.17101349539395,13.40200627336393
143,0,1,39.905,13.129,40.462,13.727,P2_01_02_14.csv,40.18234229536797,13.417119247327012
144,0,1,39.918,13.141,40.474,13.74,P2_01_02_14.csv,40.194194886446596,13.432133386565328
145,0,1,39.93,13.154,40.486,13.752,P2_01_02_14.csv,40.20624525092612,13.446885368519357
146,0,1,39.942,13.166,40.499,13.765,P2_01_02_14.csv,40.218600813887335,13.461292915191082
147,0,1,39.955,13.179,40.511,13.777,P2_01_02_14.csv,40.23116052911602,13.475331450544465
148,0,1,39.967,13.191,40.524,13.789,P2_01_02_14.csv,40.24384438378176,13.488830436133973
149,0,1,39.979,13.204,40.536,13.802,P2_01_02_14.csv,40.25640765801298,13.502238380570331
