simulation_id,distance_min,angle_at_min,relative_speed_mean,cyclist_speed_mean,pedestrian_speed_mean,cyclist_speed_max,distance_mean,angle_mean,heading_mean,cyclist_delta_v_mean,pedestrian_delta_v_mean,cyclist_delta_v_abs_mean,pedestrian_delta_v_abs_mean,cyclist_acc_mean,pedestrian_acc_mean,cyclist_acc_mean_positive,pedestrian_acc_mean_positive,cyclist_dec_mean,pedestrian_dec_mean,model,speed_type,sfm,angle_increase_distance
1,1.102567,82.016159,6.470507165122128,4.942425175438597,1.5303278333333334,6.5,16.464422280701754,71.74760040789474,1.8384498803314049,0.02643171806167401,0.006801537444933921,0.026450511013215855,0.007463704845814976,0.6607955979313168,0.17003104369383842,0.7044785899146897,0.3317689847182654,-0.013334730355003564,-0.029821733605191417,Moussaid,Fixed,SFM,12.425336
2,1.287404,84.996801,6.371591577345359,5.0813237477477475,1.2918920045045044,6.475175,16.27356072972973,68.17002399549548,0.5829425775526825,-0.00032202702702702825,-0.0012762702702702714,0.05416778378378378,0.013531450450450453,0.6602585949727561,0.14007557286901187,0.7623755582736603,0.24825609387108824,-0.11392805350742426,-0.035112140764077766,Moussaid,Fixed,SFM,11.196011
3,1.169471,87.152224,6.440516280849527,5.094214479452055,1.3479681461187214,6.5,16.251551178082195,67.17048622831051,1.956265299128499,0.0003264383561643828,0.0004280091324200923,0.05457094063926941,0.012507753424657535,0.6774686342579508,0.15301322940333878,0.9952350708162525,0.30264773873604367,-0.15957206589690875,-0.031145708078457537,Moussaid,Fixed,SFM,12.647945
4,1.306951,90.426366,6.485317222648114,5.007936465116279,1.4795630465116278,6.441576,16.8718581627907,71.70032812093025,0.5853233340283617,-0.00027173953488371903,0.0006412651162790703,0.055640734883720934,0.01365600930232558,0.6675720949166707,0.1716080383551412,0.7703530157358531,0.3121682532799793,-0.11492886483289134,-0.023824871540985684,Moussaid,Fixed,SFM,13.278196
5,1.211642,82.049411,6.380448943550326,5.119612104803494,1.2632321615720525,6.5,16.537561205240177,70.88289693886463,1.2698361247928567,0.00023001746724890683,-0.001031467248908298,0.05265000873362446,0.012165572052401744,0.6467359531893773,0.13519899693783108,0.9520008799342117,0.3427074477318539,-0.1419828969205328,-0.030374078009969906,Moussaid,Fixed,SFM,8.847931
6,1.211306,82.538744,6.980283753695466,5.036488391891893,1.947473243243243,6.412208,17.17108862162162,76.48910025675676,0.16709826950659584,-0.0004532747747747759,0.0033654144144144153,0.053716409909909904,0.015180459459459459,0.6561791003944522,0.22400211238223275,0.7140189789461865,0.39894454914592214,-0.1521548824494446,-0.026698121399512265,Moussaid,Fixed,SFM,13.280918
7,1.033242,81.173311,5.873480388571066,4.9927014911504415,0.8837964026548671,6.347683,15.73276184955752,64.19597338495575,0.07511546541809286,-0.00020327433628318723,-0.005326898230088496,0.05241510619469026,0.013274659292035397,0.6395670391979024,0.08635421647964554,0.716037628847988,0.16883782274544062,-0.1558737202084,-0.050678922426615675,Moussaid,Fixed,SFM,11.529458
8,1.149572,95.563221,6.78305657083807,5.052381907488987,1.7326842731277534,6.378641,17.071903039647577,75.86946221585902,0.5023845834970586,0.00013637885462555084,0.004152224669603524,0.05181737444933922,0.011726383259911892,0.6396519699632399,0.19075347572771179,0.7521147616274576,0.40587429626335597,-0.07378320324420888,-0.026134446194655655,Moussaid,Fixed,SFM,12.689086
9,1.209289,95.759624,6.312866769763413,4.989955553097345,1.3252361238938055,6.5,16.17514021238938,68.24205054867257,1.2472288388561814,0.0005369867256637187,-0.0018798362831858402,0.05263087168141594,0.014107862831858407,0.6556933277019271,0.14329527356053925,0.7084760448252689,0.37544736139718343,-0.20102294423214837,-0.05990070621830563,Moussaid,Fixed,SFM,12.807634
10,1.128435,82.355879,6.192205668576149,4.984725490990992,1.2099656666666667,6.416405,15.95427727927928,65.55991982882884,1.800223769755857,-0.0003765540540540554,-0.0004381936936936942,0.053715481981981984,0.012083842342342345,0.6591012427941965,0.13579248334951374,0.6948979077942301,0.21985566595181455,-0.21159730748242078,-0.033950806114448256,Moussaid,Fixed,SFM,11.365287
11,1.242659,88.559992,6.266421624248913,5.06430295045045,1.2032367207207204,6.422616,16.151185945945944,68.02512899549549,-0.3802321619833992,2.7977477477481327e-05,-0.0002149144144144152,0.05350130180180181,0.011376635135135135,0.6600741714523483,0.13058492824195062,0.7281301584457691,0.30075842135657116,-0.1177697800303284,-0.020929087684355727,Moussaid,Fixed,SFM,11.411023
12,1.066393,91.425156,6.476419717505291,5.0513807510917035,1.4269863187772924,6.400818,16.61272397379913,72.57566327947599,1.7356254520496925,-0.0001944148471615683,0.0011047379912663758,0.052172799126637553,0.011452371179039298,0.6340475718467282,0.15404491521848748,0.7709110486342874,0.2830213300829813,-0.10254109810047758,-0.025670128288654188,Moussaid,Fixed,SFM,12.802637
13,1.106407,86.494832,6.598309151689115,4.978682723214285,1.62130240625,6.387439,16.556332254464284,72.69429259821429,0.9973763626375258,4.171428571428778e-05,0.000950839285714287,0.05317465178571429,0.014000642857142852,0.6493495775766994,0.1809306952144583,0.7268745963042315,0.4315924207660795,-0.19749927028815462,-0.019940135615985892,Moussaid,Fixed,SFM,12.816422
14,1.059522,82.090693,6.665037373831239,5.10480271040724,1.5623577013574657,6.5,16.63393576470588,71.46805976923076,1.7404234675308523,0.0005093257918552052,-0.00031196832579185533,0.05395287330316742,0.014582864253393666,0.6712446274492054,0.17540998861381613,0.8358220037293284,0.67970781554293,-0.23365533388941254,-0.05478715148638186,Moussaid,Fixed,SFM,12.618266
15,1.094295,81.166691,6.762758948160868,5.025435324324324,1.7387863153153154,6.364651,16.8347682972973,73.97463222972972,0.6089194472075196,-0.0010510990990991041,0.0008506126126126131,0.054035702702702706,0.01564605405405406,0.643866729235206,0.196524314984014,0.8078426729098048,0.40513407122862366,-0.10484493793253204,-0.028690028298444914,Moussaid,Fixed,SFM,12.770494
16,1.006472,86.29835,6.468888212906916,5.022754474885845,1.447720378995434,6.28388,16.32423397716895,69.79927561643835,0.6019724093318851,-0.0005803059360730652,-0.001357347031963471,0.053915255707762545,0.014757383561643836,0.6400378444172082,0.1656041026891371,0.8439395528165183,0.3460812933838223,-0.12962788244197945,-0.023184367209119164,Moussaid,Fixed,SFM,11.864729
17,1.044949,88.022707,6.346678142602828,4.994166888392857,1.3544393705357136,6.5,16.210459258928573,68.74353330357143,0.8890266782850498,0.001609066964285713,-0.0005117544642857147,0.05255196875,0.012639504464285713,0.6625497169617605,0.14838470692464747,0.7470404371851016,0.47164095492890745,-0.20237950932133064,-0.04499840023501893,Moussaid,Fixed,SFM,12.351202
18,1.137518,86.51655,6.58752153544694,5.005060753363229,1.584624578475336,6.5,16.523368264573993,71.04263497309417,0.48007262238057735,-3.982862868610427e-18,0.0011009192825112116,0.053821273542600884,0.01340101793721973,0.6641208169022079,0.1765128180089104,0.761554274367765,0.6316594621982714,-0.642416627085788,-0.020859748327497176,Moussaid,Fixed,SFM,12.773176
19,1.146804,93.974137,6.547044679440708,5.11058134801762,1.4383125682819384,6.455506,16.702231035242292,72.53757900881058,1.724804936982476,-0.00029291189427312807,-0.0006481145374449338,0.053125907488986775,0.013872942731277533,0.6457046423780444,0.15699699116882682,0.7458047133361022,0.30504747104439983,-0.13327174242961776,-0.02578797182380137,Moussaid,Fixed,SFM,12.689419
20,1.209168,82.193134,6.501283668907898,5.026583883408072,1.4766981300448434,6.5,16.431235605381165,70.0776390044843,0.624168967955094,0.0002981659192825116,0.00021744394618834095,0.05351349327354261,0.013296887892376682,0.6700877771182893,0.16673814139104653,0.769230412521373,0.23843044811033906,-0.5703561442891966,-0.0212784900534868,Moussaid,Fixed,SFM,11.896014
1,1.11017,92.831882,6.4440131854872895,5.096219757709251,1.3498839030837002,6.5,16.545915726872245,71.50416759471365,1.3616285635761618,0.026548672566371685,0.005913553097345132,0.02670120353982301,0.006476544247787612,0.6637121711202014,0.1478315959858662,0.8001593846957094,0.3723436375383195,-0.05387670620347751,-0.027901074312215467,Moussaid,Fixed,Without SFM,12.853006
2,1.327765,88.843952,6.680261186850982,5.014222282407407,1.6686891342592594,6.356511,16.46184124537037,70.7147072962963,0.5619023432042308,-0.000734212962962962,0.0017225092592592596,0.05533400925925927,0.014520111111111112,0.6679676580362112,0.1959332777136965,0.7758731717009161,0.29235754615270304,-0.125395539494097,-0.03481918038061414,Moussaid,Fixed,Without SFM,12.863778
3,0.966799,81.99999,6.275815162056122,5.000155497695852,1.277917866359447,6.414341,15.933644990783414,65.70772447004609,0.7059810116429122,0.000336087557603687,-0.0019974147465437785,0.05417909216589861,0.013928751152073733,0.673656924224471,0.14463751243739043,0.697509855314972,0.29690585494275934,-0.422134192515974,-0.014793908937076331,Moussaid,Fixed,Without SFM,11.869525
4,1.153635,92.351273,6.810277819572275,5.018504662162163,1.7951448828828833,6.399894,16.851392797297297,73.81894302252252,0.9873698358879364,-6.507657657657502e-05,0.002519364864864865,0.05321886036036037,0.014155121621621622,0.6571610223623762,0.20501569877355713,0.6735226766527636,0.4536478549608874,-0.8058596112538401,-0.015171921565616643,Moussaid,Fixed,Without SFM,13.101026
5,1.256037,95.529397,6.846689057929386,5.039008481981982,1.8114437027027026,6.5,16.913446027027025,74.67565642792792,0.8067064801227614,0.0004380315315315344,8.189189189189277e-05,0.05361602252252251,0.016655504504504506,0.6676604332389586,0.20623863081928914,0.7462822639543951,0.5464584319184244,-0.29701981263076216,-0.047427905084562814,Moussaid,Fixed,Without SFM,12.201984
6,1.053809,89.835821,6.289444762944333,5.048771187214612,1.2445811552511414,6.5,16.02027010502283,65.81771893150685,0.3461604891504562,1.3073059360726812e-05,-0.0028092374429223737,0.054915502283105024,0.014310369863013699,0.6767574403000899,0.13871770198758315,0.933960687876968,0.26236051181813846,-0.1659839478824739,-0.029840126564754182,Moussaid,Fixed,Without SFM,12.573801
7,0.962064,89.283985,6.534563575977819,5.056430561946902,1.4809899115044247,6.414859,16.601202880530973,72.26958004424779,0.2404721882688127,-0.0007871283185840699,0.001079685840707964,0.0531605796460177,0.012187499999999999,0.6368607273417506,0.16239451025309196,0.8454419091684019,0.3674627912681959,-0.0804361945046939,-0.017334342047938156,Moussaid,Fixed,Without SFM,12.631665
8,1.170727,90.364424,6.639193644762993,5.099984937499999,1.5428397232142856,6.5,16.71114564732143,72.48093421428571,1.0294463130715472,0.0007941562499999952,0.0003410714285714287,0.05277727232142857,0.013865696428571427,0.662357740744565,0.1720092362566609,0.6849379775621661,0.3683410534078066,-1.6332831593318384,-0.03678720136914968,Moussaid,Fixed,Without SFM,12.885725
9,1.050243,94.497592,6.5974590270982025,4.99679503196347,1.6032655662100457,6.424813,16.38567083105023,70.52152465296805,1.1829528673952905,-0.0003433196347031989,0.0002982694063926939,0.05450273515981734,0.014524305936073059,0.6686194722727374,0.18329873955042428,0.7059933443895049,0.39785479290311637,-0.22886723675831053,-0.4387649145749383,Moussaid,Fixed,Without SFM,12.510552
10,1.026025,89.906505,6.83321725795441,5.0104889861751145,1.8266034884792628,6.40342,16.642215138248847,72.53392813364056,0.6724353737555339,-0.00015519354838710068,0.0011573179723502302,0.054663082949308744,0.016505760368663594,0.6707692658227363,0.21376245702636412,0.7660886136987953,0.49396095234903725,-0.09992051131885706,-0.04365026294673159,Moussaid,Fixed,Without SFM,12.628382
11,1.050788,94.730487,6.692584106507759,5.137589650655022,1.5578734410480348,6.5,17.018874344978165,75.07538759825327,0.3859168056204999,0.00030346288209606996,-0.0014872707423580773,0.052446056768558964,0.015409218340611352,0.6429349712839907,0.16497920685721223,0.9679223628021524,0.29969006090912426,-0.07681184026738562,-0.021651455527207434,Moussaid,Fixed,Without SFM,12.819008
12,1.135439,84.593339,6.525478490493692,5.053197096774194,1.4751835576036865,6.372545,16.256052041474653,68.75632307373273,0.46514709640652585,-0.0004059170506912496,-0.0002941751152073733,0.05488857142857142,0.014762506912442398,0.669415416737198,0.16749396699139202,0.8075643179465944,0.3270479623399188,-0.07639771976529672,-0.039183305995380995,Moussaid,Fixed,Without SFM,12.889519
13,1.057623,81.118138,6.647177916852851,5.054585073059361,1.5952583926940638,6.456758,16.517063662100455,70.5440305525114,1.9017732133024334,0.0003845342465753449,0.0006614566210045655,0.05401508219178082,0.01477283561643836,0.6723406902822531,0.1824201250627389,0.6862628571311407,0.3674336787486844,-1.6764288256441096,-0.0365851693231568,Moussaid,Fixed,Without SFM,12.540449
14,1.074562,88.031094,6.243860538998794,4.979179709677418,1.2685041428571426,6.5,15.895729479262673,64.90030210599078,0.7477036801056209,0.00019927188940092064,-0.0015779723502304145,0.05520675576036865,0.01343853456221198,0.683285069434463,0.14444674045852143,0.7994013869213467,0.30357378944279967,-0.2238445193260783,-0.027795966714587176,Moussaid,Fixed,Without SFM,12.350255
15,1.006742,90.332022,6.387642216618092,5.072134434389141,1.31880007239819,6.5,16.206622733031672,68.50207475565611,-0.30835195280986566,2.0094534382355776e-18,0.0001820452488687795,0.054358416289592745,0.011695420814479638,0.6747345254548409,0.14763414049108492,0.7583803666354552,0.5048200847097353,-0.14899749547146443,-0.18616045760302952,Moussaid,Fixed,Without SFM,12.767811
16,1.056212,94.633445,6.499159311911088,5.031735704035874,1.4695494349775784,6.41618,16.3925470941704,71.0746893632287,0.28528885952538424,-0.00037587443946188843,0.0007158340807174886,0.054363300448430484,0.012922955156950671,0.6559147185223116,0.16343813536594856,0.7450170806272374,0.506946484258526,-0.21122340281132193,-0.03422352462571572,Moussaid,Fixed,Without SFM,12.28772
17,1.079116,86.528368,6.588731277938367,5.06182515625,1.5297270892857147,6.461951,16.6004640625,73.02202452232142,0.43259665668678304,0.00020433482142857246,0.00032210714285714335,0.05308209375,0.013876607142857144,0.6579232128889207,0.17048953206812703,0.7004595364126452,0.3369107396676993,-0.18230815687752056,-0.034039393424522946,Moussaid,Fixed,Without SFM,12.901921
18,1.025709,83.498799,6.344878060154661,5.006074317180617,1.3424186475770923,6.360488,16.320900255506608,70.729123030837,1.722392694429653,-0.00044697356828194356,-0.0009280881057268727,0.053512488986784144,0.012810740088105729,0.6375485806124725,0.14482572945356972,0.822783718953475,0.35490067932095204,-0.13595099463848004,-0.017874977649577236,Moussaid,Fixed,Without SFM,12.741687
