index,sum_sq,df,F,PR(>F)
C(model),0.672540495520722,1.0,3.257123250153373,0.07309330889761462
C(sfm),0.18147000884523032,1.0,0.8788618513710393,0.35000078578152904
C(speed_type),37.256693624561265,1.0,180.434700715595,1.2914650343113788e-27
C(model):C(sfm),0.06379972631569535,1.0,0.30898298811788133,0.579122222564194
C(model):C(speed_type),0.2750108381309686,1.0,1.3318814270462682,0.2502821047065319
C(sfm):C(speed_type),0.2936108392012546,1.0,1.421961498569693,0.23493906382278373
C(model):C(sfm):C(speed_type),0.00018241576456186717,1.0,0.000883442159849324,0.976327154455292
Residual,31.38541205474373,152.0,,
