scenario,model,sfm,speed_type,variable,simulation_mean,simulation_std,simulation_median,real_value,difference_sim_minus_real,absolute_difference,relative_error_percent,n_simulations,rank
avoidance,NES,Without SFM,Random,angle_at_min,91.5434531,2.4318176524341863,91.4452125,95.07232318470862,-3.528870084708629,3.528870084708629,3.711774327690154,20,1.0
avoidance,NES,Without SFM,Fixed,angle_at_min,90.53427755,2.739431217121224,90.251615,95.07232318470862,-4.538045634708624,4.538045634708624,4.77325627763614,20,2.0
avoidance,NES,SFM,Random,angle_at_min,90.41965820000001,2.0468264909160867,90.7837305,95.07232318470862,-4.652664984708608,4.652664984708608,4.893816442950812,20,3.0
avoidance,NES,SFM,Fixed,angle_at_min,89.52421305,2.6124631680110957,89.1287105,95.07232318470862,-5.548110134708622,5.548110134708622,5.835673252592797,20,4.0
avoidance,Moussaid,Without SFM,Fixed,angle_at_min,89.42541274999999,4.651370699283054,89.871163,95.07232318470862,-5.64691043470863,5.64691043470863,5.939594453516916,20,5.0
avoidance,Moussaid,Without SFM,Random,angle_at_min,88.39483895000001,3.5383474833153326,88.6915195,95.07232318470862,-6.677484234708615,6.677484234708615,7.0235837423846785,20,6.0
avoidance,Moussaid,SFM,Random,angle_at_min,88.32506635,3.7600228393321204,88.300925,95.07232318470862,-6.747256834708622,6.747256834708622,7.096972713709649,20,7.0
avoidance,Moussaid,SFM,Fixed,angle_at_min,86.5386991,4.813707450878178,86.396591,95.07232318470862,-8.53362408470862,8.53362408470862,8.975928849586758,20,8.0
avoidance,Moussaid,Without SFM,Random,angle_increase_distance,11.301070200000002,1.1755855918919547,10.9906695,11.532340792444796,-0.23127059244479398,0.23127059244479398,2.005408933078935,20,1.0
avoidance,NES,SFM,Random,angle_increase_distance,11.088629800000001,1.2198357090962182,11.1694205,11.532340792444796,-0.44371099244479417,0.44371099244479417,3.8475362498434267,20,2.0
avoidance,Moussaid,SFM,Random,angle_increase_distance,11.0694928,1.2899639988131288,11.042827500000001,11.532340792444796,-0.4628479924447948,0.4628479924447948,4.01347827622317,20,3.0
avoidance,Moussaid,SFM,Fixed,angle_increase_distance,12.2030592,1.0063762795685682,12.6331055,11.532340792444796,0.6707184075552046,0.6707184075552046,5.815978036259678,20,4.0
avoidance,NES,Without SFM,Random,angle_increase_distance,10.629854,0.7903011760314111,10.4179995,11.532340792444796,-0.9024867924447957,0.9024867924447957,7.825703460272727,20,5.0
avoidance,Moussaid,Without SFM,Fixed,angle_increase_distance,12.630431399999999,0.3155712261780465,12.686676,11.532340792444796,1.0980906075552035,1.0980906075552035,9.52183626306463,20,6.0
avoidance,NES,Without SFM,Fixed,angle_increase_distance,12.89166505,0.47344219323248626,12.8475805,11.532340792444796,1.3593242575552047,1.3593242575552047,11.787062852372014,20,7.0
avoidance,NES,SFM,Fixed,angle_increase_distance,13.0715221,0.45154605321832025,13.149669,11.532340792444796,1.5391813075552037,1.5391813075552037,13.346651258897676,20,8.0
avoidance,Moussaid,Without SFM,Fixed,cyclist_speed_mean,5.045400193100421,0.039486853103125975,5.0509841419944035,6.0110983156940785,-0.9656981225936576,0.9656981225936576,16.065252502564537,20,1.0
avoidance,NES,SFM,Fixed,cyclist_speed_mean,5.039504236343061,0.04377880085417414,5.047731126696832,6.0110983156940785,-0.9715940793510178,0.9715940793510178,16.1633370196979,20,2.0
avoidance,Moussaid,SFM,Fixed,cyclist_speed_mean,5.034275830736672,0.04947784723105099,5.026009603866198,6.0110983156940785,-0.9768224849574061,0.9768224849574061,16.2503162260226,20,3.0
avoidance,NES,Without SFM,Fixed,cyclist_speed_mean,5.033303125596894,0.04075049997618725,5.031754990867579,6.0110983156940785,-0.9777951900971846,0.9777951900971846,16.266498046526834,20,4.0
avoidance,Moussaid,SFM,Random,cyclist_speed_mean,4.150124026359476,0.505834832925973,4.180281906300389,6.0110983156940785,-1.8609742893346022,1.8609742893346022,30.95897274672545,20,5.0
avoidance,NES,SFM,Random,cyclist_speed_mean,4.051207178137243,0.6099612392593045,4.211320701987548,6.0110983156940785,-1.959891137556835,1.959891137556835,32.604543040659514,20,6.0
avoidance,Moussaid,Without SFM,Random,cyclist_speed_mean,4.004483413318102,0.6296711764535647,3.9455776823885333,6.0110983156940785,-2.0066149023759765,2.0066149023759765,33.38183468297308,20,7.0
avoidance,NES,Without SFM,Random,cyclist_speed_mean,3.8285215092979796,0.36173782004624944,3.8782297429264654,6.0110983156940785,-2.182576806396099,2.182576806396099,36.30911843011646,20,8.0
