index,sum_sq,df,F,PR(>F)
C(model),217.97622240856597,1.0,18.18412204853694,3.508739633616249e-05
C(sfm),64.7790470911845,1.0,5.404030244574648,0.02141381536501567
C(speed_type),17.69450862380032,1.0,1.4761201971882143,0.22626646788260626
C(model):C(sfm),1.6917873358524083,1.0,0.14113313395094604,0.7076808787079414
C(model):C(speed_type),3.299510125856871,1.0,0.27525339308112995,0.6005936420041842
C(sfm):C(speed_type),18.268369545685108,1.0,1.523993111614998,0.2189213121930754
C(model):C(sfm):C(speed_type),21.472087869611656,1.0,1.7912553128206887,0.18277183773370467
Residual,1822.0503424726958,152.0,,
