model,speed_type,sfm,mean_distance_min,mean_angle_at_min
Moussaid,Fixed,SFM,1.1462032999999998,86.5386991
Moussaid,Fixed,Without SFM,1.0967827499999998,89.42541274999999
Moussaid,Random,SFM,1.3076918499999999,88.32506635
Moussaid,Random,Without SFM,1.2331418500000002,88.39483895000001
NES,Fixed,SFM,1.70734135,89.52421305
NES,Fixed,Without SFM,1.5438104000000001,90.53427755
NES,Random,SFM,1.7833169999999998,90.41965820000001
NES,Random,Without SFM,1.714047,91.5434531
